resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,numCurr,numTot,numWait,onlineMeeting,weekDay 6,alignC,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,extraTxt 14,extraTxt 15
GGR,Social Geographies of Climate Change,GGR332H1-S,,,,"Analyses the social and behavioural geographies of climate change, including: climate change communication (how we interpret and communicate climate science); climate change prevention strategies, from the macro to micro scale; and possibilities for climate change adaptation.",GGR387H1 (Special Topics in Environmental Geography: The Social Geographies of Climate Change); offered in Winter 2020,Exclusion:,"8.0 credits, GGR223H1, GGR271H1",Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,—,11:00,13:00,CR 406,https://map.utoronto.ca/?id=1809#!m/494580,"Wakefield, S.",0,60,Yes: 4 students,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Society and its Institutions (3),Breadth Requirement:
GGR,Water Resource Management,GGR334H1-F,,,,"Managing demand and supply; linkages between water quality and human health. Case studies from the industrial world and from developing countries, rural and urban. Implications of population growth and climate change for water resource management.",GGR288H5,Exclusion:,"8.0 FCE's including one of JEG100H1/GGR100H1, GGR107H1, GGR223H1",Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,12:00,14:00,SS 1083,https://map.utoronto.ca/?id=1809#!m/494510,"Verma, R.",1,93,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Society and its Institutions (3),Breadth Requirement:
FRE,Postcolonialism: Francophone Literatures,FRE336H1-F,Timetable instructions,Note:,Information regarding the classroom associated with this course will be provided to students through Quercus.,"The fundamentals of postcolonial theories, with emphasis on how they relate to the Francophone world. The dialogue between fiction and theory, as well as the modalities of a coherent Francophone postcolonial identity in a global world.","FRE240H1/FRE245H1, FRE241H1/FRE246H1",Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Monday,—,11:00,13:00,,,"Faulkner, M.",17,30,Yes: 0 student,In Person,—,,,,,,,,,,
GGR,Urban Historical Geography of North America,GGR336H1-F,,,,"This course explores the emergence and reproduction of class and racial social spaces, the development of new economic spaces, and the growing importance of the reform and planning movements. Emphasis is on metropolitan development between 1850 and 1950.","8.0 FCE's including one of GGR124H1, GGR241H1, GGR254H1",Recommended Preparation:,"Humanities, Social Science",Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Friday,—,10:00,12:00,SS 1085,https://map.utoronto.ca/?id=1809#!m/494510,"MacGregor, G.",46,93,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,Environmental Remote Sensing,GGR337H1-F,,,,"Principles of optical, active and passive microwave remote sensing; satellite orbit and sensor characteristics; image processing and analysis techniques and software; and environmental remote sensing applications.",GGR337H5,Exclusion:,"8.0 credits, JEG100H1/GGR100H1, GGR272H1",Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,10:00,12:00,SS 1070,https://map.utoronto.ca/?id=1809#!m/494510,"Liu, J.",9,70,Yes: 0 student,In Person,SS 561,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,The Physical and Mathematical Universes (5),Breadth Requirement:
GGR,"Urban Geography, Planning and Political Processes",GGR339H1-S,,,,"Investigates North American urban political geography, exploring conflicts over immigration, environment, gentrification, homelessness, labour market restructuring, ‘race’ and racism, urban sprawl, nature and environment, gender, sexuality, security, and segregation. Explores competing visions of city life and claims on urban space. The course investigates how these struggles connect to economic, social and environmental politics at larger spatial scales, and considers different theoretical frameworks that geographers have developed to make sense of both the persistence of old problems and the emergence of new ones. Potential field trip, cost: $20.",GGR349H5,Exclusion:,"8.0 credits including GGR124H1, GGR246H1/GGR254H1",Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC5101,Monday,—,18:00,20:00,SS 2125,https://map.utoronto.ca/?id=1809#!m/494510,"Spicer, J.",0,60,Yes: 31 students,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Society and its Institutions (3),Breadth Requirement:
GGR,Health Geography,GGR340H1-F,,,,"An exploration of the aspects of health in which place or location matters. Particular attention will be paid to the role of environments (physical, social, etc.) in explaining differences in health between places, the structuring of health-related behaviour in place, and the development of health policy for places.","GGR270H1, or the combination of STA220H1 and HST250H1",Prerequisite:,"8.0 FCE's, including GGR223H1",Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,—,10:00,12:00,SS 2125,https://map.utoronto.ca/?id=1809#!m/494510,"Castel, E.",18,60,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",HEALTH STUDIES     (Faculty of Arts and Science),"HEALTH STUDIES     (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:
GGR,The Changing Geography of Latin America,GGR341H1-S,,,,"Seeks to develop a general understanding of present-day Latin America by focusing on human-environment interactions, past and present. Case studies are used to understand the diversity of Latin American landscapes (physical and cultural); and how they are changing within the context of globalization.",8.0 credits including 1.0 in Geography (SOC SCI/BR=3),Recommended Preparation:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,—,13:00,15:00,SS 2125,https://map.utoronto.ca/?id=1809#!m/494510,"Abizaid, C.",28,60,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,The Changing Geography of Southeast Asia,GGR342H1-S,,,,"Examines changes in the social, political and economic geography of Southeast Asian countries. Examples drawn from Thailand, Singapore, Indonesia, Vietnam and the Philippines as these emerging newly industrialized countries enter the 21st century. Emphasis on political-economy, urbanization and environment since 1950.",8.0 FCE's including 1.0 FCE in Geography (SOC SCI/BR=3),Recommended Preparation:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,—,16:00,18:00,SS 2108,https://map.utoronto.ca/?id=1809#!m/494510,,39,60,Yes: 0 student,In Person,,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,Political Economy of Germany and the EU,GGR344H1-F,,,,"The goal of this course is to explore the structure and geography of the German political economy in the context of EU integration and economic globalization. This includes providing an understanding of the economic and political system (and its regional manifestations); which was once (and is now again) viewed as a successful socially-balanced alternative to the market-liberal structures in Anglo-Saxon economies. Drawing upon the varieties-of-capitalism approach, the main themes in the course address the institutional conditions for growth. In a comparative perspective, the course explores topics, such as the role of collective agents, corporate governance and finance, collective bargaining, inter-firm co-operation and regional networks, social security systems, and population structure and immigration. In order to understand the heterogeneous challenges to the “German model”, the conditions are explored under which regional economies develop. This includes an analysis of the reunification process, and of the economic and political situation in the new Länder. Further, the question is raised as to how the “German model” can adapt to challenges related to globalization, climate change and economic crises.",8.0 FCEs,Prerequisite:,POL372H1,Exclusion:,1.0 FCE from GGR or POL,Recommended Preparation:,Room,LEC0101,Monday,—,14:00,16:00,SS 1074,https://map.utoronto.ca/?id=1809#!m/494510,"Bathelt, H.",31,60,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Social Science,Distribution Requirement:
FRE,Literary Genres,FRE345H1-F,,,,"Survey of the main literary genres and analysis of their features, with in-depth study of two of the genres: narrative (epic poem, novel, short narrative); lyric poetry, drama (tragedy, comedy, farce, mystery play); essay. Readings of selected texts, chosen for their representative potential and their historical relevance.","FRE240H1/FRE245H1, FRE241H1/FRE246H1",Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Monday,—,14:00,16:00,CR 103,https://map.utoronto.ca/?id=1809#!m/494580,"Theriault, P.",20,30,Yes: 0 student,In Person,,,,,,,,,,,
GGR,The Urban Planning Process,JGU346H1-F,,,,"Overview of how planning tools and practice shape the built form of cities. This course introduces twentieth century physical planning within its historical, social, legal, and political contexts. Community and urban design issues are addressed at local and regional scales and in both central cities and suburbs. The focus is on Toronto and the Canadian experience, with comparative examples from other countries, primarily the United States. Transportation costs: $20.","JGI346H1, GGR361H5",Exclusion:,"8.0 credits including GGR124H1, URB235H1, URB236H1",Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,13:00,SS 2110,https://map.utoronto.ca/?id=1809#!m/494510,"Hess, P.",3,70,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ2207 MA URBAN STUDIES,ASSPE2207 SP URBAN STUDIES,Society and its Institutions (3),Breadth Requirement:
GGR,Carbon-Free Energy,GGR348H1-F,,Breadth Requirement:,,"Examines the options available for providing energy from carbon-free energy sources: solar, wind, biomass, nuclear, and fossil fuels with capture and sequestration of CO2. The hydrogen economy is also discussed.",Physics SPH3U,Offered alternate years from GGR347H1.,"GGR333H1, JGE348H1",Prerequisite:,8.0 FCE's including first year Math and/or Physics,Exclusion:,Room,LEC5101,Monday,—,17:00,20:00,SS 2105,https://map.utoronto.ca/?id=1809#!m/494510,"Shirinbakhsh Masouleh, M.",24,60,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMIN1552 MI ENVIRONMENT & ENERGY,,Science,Recommended Preparation:
GGR,Managing Urban Natures,GGR349H1-S,,,,"Recent calls to action by the Intergovernmental Panel on Climate Change and the World Wildlife Fund indicate we are at a crossroads in responding to accelerating global warming and biodiversity loss. Cities are often at the forefront of these transformations, both in feeling their effects but also initiating responses. How might we reimagine our cities in a way that promotes thriving and equitable ecosystems? What tools exist in the policy landscape to initiate needed changes? What innovative responses are emerging to confront the challenges of increased flooding, rising temperatures, habitat fragmentation, and food insecurity? How might we reimagine an urban commons? With a primary focus on Canadian cities, in this course we explore the ways divergent conceptualizations of urban-nature have informed policies and practices drawing largely from critical, political ecology, and Indigenous perspectives; the policy landscape that informs current urban planning; and new and innovative approaches that help us to reshape and reimagine our relationships to urban nature, including initiatives led by municipalities, non-government organizations and citizens groups.",8.0 FCEs,Prerequisite:,GGR300H1 (Topics: Managing Urban Natures); offered in Fall 2017,Exclusion:,GGR223H1,Recommended Preparation:,Room,LEC0101,Tuesday,—,13:00,15:00,SS 1085,https://map.utoronto.ca/?id=1809#!m/494510,"Ruddick, S.",0,60,Yes: 3 students,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Social Science,Distribution Requirement:
GGR,Housing and Community Development,GGR357H1-S,,,,"Focuses on the importance of adequate housing and quality neighbourhoods. It roots theoretical explanations and policy debates in realities using Canada and Toronto as examples. Topics covered include the evolution of public policies relating to social housing, rental housing, homeownership, neighborhoods, and homelessness.",8.0 credits including GGR124H1 and 1.0 credit in Geography (SOC SCI/BR=3),Recommended Preparation:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,—,15:00,17:00,SS 2127,https://map.utoronto.ca/?id=1809#!m/494510,"Hulchanski, J.",0,70,Yes: 19 students,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,Comparative Urban Policy,GGR359H1-F,,,,"This course considers urban public policy. Urban policy is not natural or inevitable response to urban problems. It is actively produced (and contested) by an array of voices, institutions, and social forces. Actualized urban policies are thus best understood and evaluated as products of these influences. The first half of the course will cover broad theoretical matters pertaining to the production of urban policy. The second half of the course will focus more intensively on one problem—urban decline—and explore the actualized approaches that have been brought to bear to manage it.",8.0 credits including 1.0 credit in Geography (SOC SCI/BR=3),Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC9901,Tuesday,—,13:00,15:00,,,"Hackworth, J.",0,60,Yes: 0 student,Online - Synchronous,—,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,"Culture, History, and Landscape",GGR360H1-S,,,,"The history of approaches to the idea of landscape. A consideration of the origins and uses of the term in geographical inquiry will be followed by a series of case studies, global in scope, from the Early Modern period to the present. Emphasis will be placed on the representational and lived aspects of landscapes, as well as struggles over their definition, interpretation, and use.",8.0 FCE's including 1.0 FCE in Geography (HUM/BR=1 or SOC SCI/BR=3),Recommended Preparation:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Wednesday,—,12:00,14:00,SS 2125,https://map.utoronto.ca/?id=1809#!m/494510,"Farish, M.",26,60,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,"Critical Geographies: An Introduction to Radical Ideas on Space, Society and Culture",GGR363H1-S,,,,"Introduces a diversity of critical perspectives for geographers and others, including anarchism, Marxism, feminism, sexual politics, postcolonialism, anti-imperialism and anti-racism. In so doing it illustrates how such radical ideas about space, society and culture have contributed to our political thought and action.",8.0 FCE's including 1.0 FCE in Geography (SOC SCI/BR=3),Recommended Preparation:,"Humanities, Social Science",Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,13:00,VC 115,https://map.utoronto.ca/?id=1809#!m/494602,"Goonewardena, K.",29,60,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,Advanced Geographic Information Systems,GGR373H1-F,,,,"Advanced theory, techniques, and applications in geographic information systems (GIS); including interpolation, geostatistics, modeling, and raster and vector analysis. GIS project design and implementation.",GGR273H1,Prerequisite:,8.0 credits,Recommended Preparation:,"Science, Social Science",Distribution Requirement:,Room,LEC0101,Thursday,—,16:00,18:00,SS 1074,https://map.utoronto.ca/?id=1809#!m/494510,"Malik, K.",1,52,Yes: 0 student,In Person,,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,The Physical and Mathematical Universes (5),Breadth Requirement:
FRE,Practical Translation: French - English,FSL375H1-F,Timetable instructions,Note:,The placement test  is mandatory for students who do not have the prerequisites.,"This half-year course, which works as an introduction to translation, is designed to improve students’ mastery of French through English to French and French to English translations. Emphasis is on the practice of translation of a variety of texts and documents, and on the introduction to the practice of oral interpretation from one language to the other.","1.0 credit in FSL at the 300-level, or any 1.0 credit in FRE at the 200-level",Prerequisite:,"FSL375Y1, Any FSL 400-level course.",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,—,12:00,15:00,VC 101,https://map.utoronto.ca/?id=1809#!m/494602,"Sacre, S.",26,60,Yes: 0 student,In Person,,,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:
FRE,French Phonology and Phonetics,FRE376H1-F,,,,A study of the phonological and phonetic systems of modern French based on actual samples of speech taken from different regional varieties and socio-economic groups.,"FRE272H1, FRE274H1",Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Wednesday,—,11:00,14:00,CR 405,https://map.utoronto.ca/?id=1809#!m/494580,"Mamode, M.",16,30,Yes: 0 student,In Person,,,,,,,,,,,
FRE,French Syntax,FRE378H1-F,,,,"A study of the distribution and relationships of the syntagmatic components of contemporary French; of sentential structure, including the principles of coordination, subordination and expansion; and of major theoretical approaches.",FRE272H1 + FRE274H1,Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,13:00,TF 101,https://map.utoronto.ca/?id=1809#!m/494581,"Hamlaoui, F.",18,30,Yes: 0 student,In Person,,,,,,,,,,,
FRE,Sociolinguistics of French,FRE379H1-S,,,,"The relationship between language use and social factors such as socio-economic status, social context and gender of speaker. Theoretical notions are derived through the analysis of specific data, focusing on Canadian French and other varieties spoken in the Americas.",FRE272H1 + FRE383H1,Prerequisite:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC5101,Monday,—,17:00,19:00,CR 404,https://map.utoronto.ca/?id=1809#!m/494580,"Friesner, M.",19,50,Yes: 0 student,In Person,,,,,,,,,,,
FRE,Quantitative Methods for the Study of French,FRE383H1-F,Timetable instructions,Note:,"This is a 3-hour course (2-hr lecture, 1-hr tutorial). Students must enroll in both the lecture and the tutorial for a total of three hours per week. Students should check for any schedule conflict before enrolling in a tutorial. Changing or switching of lecture meeting or tutorial at mid-session is not permitted at the Department of French. Students who are not enrolled in the tutorial of their choice by the deadline will be placed by the Department of French in another section according to availability.",An introduction to the foundations of quantitative research on French. Topics include differences between quantitative and qualitative analyses; hypothesis formulation; experimental design; and data collection and analysis including basic statistical methods. Phenomena investigated come from Canadian and European varieties as well as studies of second language learners.,FRE272H1,Prerequisite:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,—,13:00,15:00,CR 403,https://map.utoronto.ca/?id=1809#!m/494580,"Dunbar, E.",21,50,Yes: 0 student,In Person,,—,,,,,,,,,
FRE,French Semantics,FRE386H1-S,,,,Various approaches to the notion of meaning; its functioning at all levels of representation.,FRE272H1,Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,CR 103,https://map.utoronto.ca/?id=1809#!m/494580,"Bello, S.",17,30,Yes: 0 student,In Person,,,,,,,,,,,
GGR,Special Topics in Geographic Information Systems,GGR386H1-F,Delivery instructions,Note:,Lectures will be delivered on-line with a choice of attending on-line or in-person in the campus lab. You will be required to be on campus for the final exam.,"Content in any given year varies by instructor. Students must meet the prerequisites set by the department (see the Geography website for details in May). Can be used towards GIS, Human Geography, and Environmental Geography programs.",GGR272H1,Prerequisite:,,,,,Room,LEC5101,Wednesday,—,18:00,21:00,RW 107,https://map.utoronto.ca/?id=1809#!m/494515,"Larsen, K.",7,45,Yes: 0 student,In Person (See Delivery Instructions.),,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
FRE,"Bilingualism, Multilingualism, and Second Language Acquisition",JFG388H1-F,Timetable instructions,Note:,"This is a 3-hour course (2-hr lecture, 1-hr tutorial). Students must enroll in both the lecture and the tutorial for a total of three hours per week. A portion of the final grade will be determined uniquely by students' participation in the tutorial.","Knowing and speaking more than one language is the everyday norm of people living in much of the world including in multicultural cities like Toronto. Via an in-depth introduction to the cognitive and social underpinnings of bi- and multilingualism including second language acquisition, this course provides answers to questions such as","(1) Any 100-level or higher language course OR introductory linguistics course (e.g., LIN200H1, FRE272H1, ITA360H1, SLA323H1/SLA380H1, SPA322H1); (2) At least 4 FCEs in any subject.",Prerequisite:,FRE388H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Friday,—,14:00,16:00,AH 107,https://map.utoronto.ca/?id=1809#!m/494578,"Bello, S.",37,60,Yes: 0 student,In Person,,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0120 MA FRENCH LANGUAGE LEARNING  - Year 3,ASMAJ0525 MA FRENCH LANG & FRENCH LING  - Year 3,ASSPE0525 SP FRENCH LANG & FRENCH LING  - Year 3,,"Thought, Belief and Behaviour (2)",Breadth Requirement:
GGR,Field Methods,GGR390H1-F,,,,"Introduction to field methods in geomorphology, vegetation mapping/analysis, soils, hydrology, and climatology. The course includes exercises and a group project during a one-week field camp, a little preparation during the preceding summer, and complementary practical work and/or seminars during the Fall Term. Each student is required to pay the costs of their transportation and accommodation (field trip costs: $475). This course meets the field requirement for Physical & Environmental Geography programs. The field camp normally runs for one week at the end of August. Students must register with the Department by April. Consult with the department in case of conflict or concerns. Course may be limited by size. Not eligible for CR/NCR option.","1.0 from JEG100H1, GGR201H1, GGR203H1, GGR205H1, GGR206H1, GGR305H1, ENV234H1, or permission of the instructor",Prerequisite:,8.0 FCE's including GGR270H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,16:00,17:00,SS 2114,https://map.utoronto.ca/?id=1809#!m/494510,"Chen, J.",9,25,No,In Person,,,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
GGR,Special Topics in Geography I,GGR400H1-F,,,,Content in any given year depends on instructor. The program in which this course can be used depends on its context. Consult Departmental Office in April.,10.0 FCE's,Prerequisite:,2.0 FCE's in GGR (HUM/BR=1 or SOC SCI/BR=3),Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC9901,Wednesday,—,10:00,12:00,,,"DeLoyde, C.",5,30,Yes: 0 student,Online - Synchronous,—,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY  Department of Geography and Planning  Major (Faculty of Arts and Science),GEOGRAPHY  Department of Geography and Planning  Specialist (Faculty of Arts and Science),"GEOGRAPHY  Department of Geography and Planning  Major (John H. Daniels Faculty of Architecture, Landscape, & Design)","GEOGRAPHY  Department of Geography and Planning  Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)",,
