resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,headerSect 8,weekDay 3,weekDay 4,alignC,weekDay 10,alignC 4,weekDay 18,extraTxt 11,extraTxt 12,weekDay href,extraTxt 13,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,dayInfo 28,dayInfo 29,dayInfo 30,weekDay href 4
SMC,"The History of Reading: Readers, Readerships, Reception",BMS332H1-S,,,,"This course explores the history of reading in western culture in a global context. Attention is given to the pivotal episodes in this history with a focus on its changing modes and shifting cultural significance. By surveying the habits, institutions, and aims of reading, students in this course will gain a greater understanding of its rich history and its complex evolution, and will enable them to reflect on the critical place of reading in their daily lives.","(BMS100H1, BMS200Y1, BMS201H1) or SMC219Y1",Prerequisite:,SMC229H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Friday,—,11:00,13:00,CR 403,"Gildea, I.",of  available,44,50,Yes: 0 student,In Person,,,,,,,,Society and its Institutions (3),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1300 MA BOOK & MEDIA STUDIES,ASMIN1300 MI BOOK & MEDIA STUDIES,,,,
SMC,Early Celtic History 450-1000,CLT337H1-S,,,,"The history of the insular Celtic nation groups from the post-Roman period to the end of the first millennium, the course will trace settlement history and social organization, the making of Celtic nations, the process of Christianization, the impact of the Vikings, and the rise of paramount kings.",SMC337H1,Exclusion:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,11:00,13:00,TF 201,"Miles, B.",of  available,0,40,Yes: 1 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494581,,,,,,,,,,
SMC,Middle Ages by the Numbers,MST341H1-F,,,,"Numbers and their uses often appear to be absolute fact: a thousand dollars is exactly that, not more or less; and if you weigh fifty kilos, that’s what you weigh. But the use and meaning of numbers—for recording and counting dates, money, weights, distances, and myriad other functions—is not, in fact, devoid of cultural, historical, and political context. Mediaeval Europe provided a bewildering range of calendric systems, currencies, systems of measurement, and numerical symbolism was much used in art, music, religious thought, and literature. This course provides an introduction to the various uses of numbers in this period across different regions and cultural contexts.",Completion of 9.0 credits,Prerequisite:,"MST210H1, MST212H1",Recommended Preparation:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,CR 404,"Menendez, K.",of  available,19,25,Yes: 0 student,In Person,,,,,,,,Society and its Institutions (3),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,,,,,,,,,,
SPA,History of Portuguese Language,PRT342H1-S,,,,This interdisciplinary course provides an overview of the evolution of Portuguese language from 15th century to the present. It discusses linguistic change by analyzing texts from a variety of genres in different historical periods and geographical contexts.,PRT219Y1 or PRT220Y1 or PRT120Y1 or Permission of the Department,Prerequisite:,PRT320Y1,Corequisite:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,VC 304,"Alves dos Santos Rato, A.",of  available,13,20,Yes: 0 student,In Person,,,,,,,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,
SMC,Writing Ireland,CLT345H1-F,,,,"This course looks at some of the major literary figures of Ireland in the twentieth and twenty-first centuries, writing in both Irish and English. Authors examined may include W. B. Yeats, Patrick Pearse, Nuala Ní Dhomhnaill, Seán Ó Riordáin, Seamus Heaney and Claire Keegan. Through a close reading of poetry, prose and critical texts, students will examine how Ireland's past, present and future are variously figured in its greatest modern literature. All Irish-language works will be read in English translation.",8.0 credits or permission of the instructor.,Prerequisite:,SMC345H1,Exclusion:,CLT241H1,Recommended Preparation:,Room,LEC0101,Wednesday,—,16:00,18:00,CR 106,"SHEEHAN, P.",of  available,17,20,Yes: 0 student,In Person,,,,,,,,Humanities,Distribution Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,,,,,,,,,,
SPA,Spanish Cinema,SPA345H1-S,,,,"Analysis of the development of Spanish Cinema within its social and political contexts. Directors studied include Buñuel, Bardem, Erice, Saura, Almodóvar and Bigas Luna. (Offered every three years).",SPA120Y1 or SPA220Y1 or SPA219Y1 or Permission of the Department,Prerequisite:,SPA258H1,Recommended Preparation:,Humanities,Distribution Requirement:,Room,LEC0101,Thursday,—,16:00,18:00,VC 304,"Davidson, B.",of  available,0,30,Yes: 11 students,In Person,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,
SMC,Traditional Music in Ireland and Scotland,CLT347H1-S,,,,"From Medieval harp playing to the emergence of reels and jigs during the eighteenth century, this course explores the changes and continuities in traditional music, and its place in contemporary culture.",5.0 credits,Prerequisite:,SMC347H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,12:00,14:00,TF 103,"SHEEHAN, P.",of  available,2,25,Yes: 0 student,In Person,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494581,,,,,,,,,,
STAT,Probability,STA347H1-F,Delivery instructions,Note:,Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines.,"An overview of probability from a non-measure theoretic point of view. Random variables/vectors; independence, conditional expectation/probability and consequences. Various types of convergence leading to proofs of the major theorems in basic probability. An introduction to simple stochastic processes such as Poisson and branching processes.","STA247H1(70%)/STA255H1(70%)/STA237H1(70%)/STA257H1/ECO227Y1/STAB52H3/STA256H5; MAT223H1/MAT240H1/MATA22H3//MATA23H3/MAT223H5/MAT240H5; MAT235Y1/MAT237Y1/MAT257Y1/(MATB41H3, MATB42H3)/(MAT232H5, MAT236H5)/(MAT233H5, MAT236H5) (Note: STA257H1, MAT223H1/MAT240H1, MAT237Y1/MAT257Y1 are very strongly recommended)",Prerequisite:,MAT377H1/STAC62H3/STA348H5,Exclusion:,Science,Distribution Requirement:,Room,LEC2501,Monday,—,18:00,21:00,ES 1050,"Khan, M.",of  available,4,30,Yes: 0 student,In Person (See Delivery Instructions.),,BA 1160,,,ES 1050,,Monday,The Physical and Mathematical Universes (5),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494499,"Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.",Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),ASSPE1687 SP DATA SCI,—,18:00,21:00,https://map.utoronto.ca/?id=1809#!m/494499
STAT,Advanced Life Contingencies,ACT348H1-F,Delivery instructions,Note:,"Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.",Determination of benefit premium and benefit reserves for life insurance and annuities; analysis of insurance loss random variables; theory of life contingencies for multiple lives. Course manuals fee: $40.,"ACT240H1 (minimum 63%); ACT245H1 (minimum 63%); ACT247H1 (minimum 63%); (STA257H1, STA261H1); MAT237Y1/MAT257Y1",Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Monday,—,15:00,17:00,SS 2102,"Badescu, A.",of  available,79,150,Yes: 0 student,In Person (See Delivery Instructions.),,,,,UC 140,,Wednesday,,,https://map.utoronto.ca/?id=1809#!m/494510,It is strongly recommended that students have a computer with a microphone and camera in order to participate in any online components of this course.,,,,,,—,11:00,12:00,https://map.utoronto.ca/?id=1809#!m/494517
SMC,Early Modern Ireland,CLT348H1-F,,,,"This course focuses on Irish history from the early seventeenth century to the Great Famine of the mid nineteenth century. Topics include the Ulster plantation, Catholic resistance, the Penal Laws, the United Irishmen, the Act of Union, Catholic Emancipation and the Famine.",5.0 credits,Prerequisite:,SMC348H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,TF 103,"McGowan, M.",of  available,9,25,Yes: 0 student,In Person,,,,,,,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494581,,,,,,,,,,
SPA,The Renaissance Mexico City,LAS348H1-S,,,,"By exploring history, art, architecture, literature and music of sixteenth century Mexico City as a geographical and cultural point of reference, this course explores the historical event known as “the Renaissance” outside of its traditional localities. By the mid 16th century, colonial Mexico City became the contact zone and the hub for the exchange of peoples, goods and ideas that migrated across the Atlantic. Mexico City gives an alternative perspective to how local political and social-historical contexts shape ideas and cultural forms and illustrates the processes and effects of cultural cross-fertilization in the Renaissance. Taught in English.","LAS200H1, a History course on Early Modern Hispanic world or a course in the Renaissance Studies Program (VIC 346, “The Idea of the Renaissance”); or permission of the instructor",Recommended Preparation:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Thursday,—,10:00,12:00,VC 304,"Munjic, S.",of  available,21,25,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,
SPA,Galdos and the Realist Novel,SPA348H1-S,,Marianela,Doña Perfecta,"Representative fiction by Galdós, the principal Spanish novelist of the nineteenth century. Detailed study of such texts as , , , , , in relation to modernity of realist fiction and contemporary issues in politics, social relations and individual psychology. (Offered every three years)",SPA120Y1 or SPA220Y1 or SPA219Y1 or Permission of the Department,Prerequisite:,SPA258H1,Recommended Preparation:,Humanities,Distribution Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,NF 113,"Iglesias, Y.",of  available,25,30,Yes: 0 student,In Person,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494600,La desheredada,,,,,,,,,
STAT,Corporate Finance for Actuarial Science,ACT349H1-F,Delivery instructions,Note:,"Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.",Actuarial applications of financial mathematics and economics.,"ACT240H1 (minimum 63%); ACT245H1 (minimum 63%); ACT247H1 (minimum 63%); (STA257H1, STA261H1); MAT237Y1/MAT257Y1",Prerequisite:,"ECO358H1, ECO359H1 , RSM332H1 , RSM333H1",Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,14:00,17:00,SS 2102,"Tome, J.",of  available,53,100,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,The Physical and Mathematical Universes (5),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494510,It is strongly recommended that students have a computer with a microphone and camera in order to participate in any online components of this course.,,,,,,,,,
STAT,Applied Probability for Actuarial Science,ACT350H1-F,Delivery instructions,Note:,"Pre-recorded lectures will be offered online and tutorials and computer labs will be in-person depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.",The course offers an introduction to elementary probability theory and stochastic processes. The main goal of the course is to help actuarial students understand the concept of stochastic processes with particular emphasis on Markov chains that are of great importance in Life Contingencies and Property and Casualty insurance.,"The course will cover the following topics: a basic review of probabilities with emphasis on conditional probabilities and expectations, discrete time Markov chains, Poisson processes, continuous time Markov chains, renewal theory and some applications, queueing theory.",Prerequisite:,"ACT240H1 (minimum 63%); ACT245H1 (minimum 63%); ACT247H1 (minimum 63%); STA257H1, MAT223H1/MAT240H1, MAT237Y1/MAT257Y1",Distribution Requirement:,Science,Breadth Requirement:,Room,LEC0101,Tuesday,—,13:00,16:00,MS 4279,"Pesenti, S.",of  available,11,50,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,The Physical and Mathematical Universes (5),,https://map.utoronto.ca/?id=1809#!m/494491,It is strongly recommended that students have a computer with a microphone and camera in order to participate in any online components of this course.,,,,,,,,,
SPA,Portuguese Language and Society,PRT350H1-F,,,,"Explores how factors such as ethnicity, gender, social class and age affect the use of Portuguese language and determine its characteristics. The course overviews mostly the aspects of Brazilian and European Portuguese. (Offered in alternate years.)",PRT219Y1 or PRT220Y1 or PRT120Y1 or Permission of the Department,Prerequisite:,PRT320Y1,Corequisite:,PRT320Y1,Recommended Preparation:,Room,LEC0101,Wednesday,—,13:00,15:00,VC 211,"Alves dos Santos Rato, A.",of  available,13,20,Yes: 0 student,In Person,,,,,,,,Humanities,Distribution Requirement:,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,
SMC,Contemporary Celtic Cinema,CLT355H1-S,,,,"An exploration of contemporary films of Ireland, Scotland and Wales from 1980 to the present, as they relate to representations of Celtic identity and the formation of national cinema.",SMC355H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC5101,Monday,—,18:00,21:00,CR 403,,of  available,26,50,Yes: 0 student,In Person,,,,,,—,,,,https://map.utoronto.ca/?id=1809#!m/494580,,,,,,,,,,
STAT,Theory of Statistical Practice,STA355H1-S,Delivery instructions,Note:,Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines.,"STA355H1 provides a unifying structure for the methods taught in other courses, and will enable students to read methodological research articles or articles with a large methodological component. Topics covered include statistical models and distributions; fundamentals of inference: estimation, hypothesis testing, and significance levels; likelihood functions and likelihood-based inference; prior distributions and Bayesian inference.","STA255H1 (73%)/STA248H1 (73%)/STA238H1 (73%)/STA261H1 (60%)/ECO227Y1 (60%)/STAB57H3 (60%)/STA260H5 (60%)/ECO227Y5 (60%); MAT235Y1/MAT237Y1/MAT257Y1/(MATB41H3, MATB42H3)/(MAT232H5, MAT236H5)/(MAT233H5, MAT236H5); MAT223H1/MAT240H1/MATA22H3/MATA23H3/MAT223H5/MAT240H5",Prerequisite:,STAC58H3,Exclusion:,CSC108H1/CSC120H1/CSC148H1/CSC110Y1/CSC111H1,Recommended Preparation:,Room,LEC0101,Monday,—,09:00,10:00,BT 101,"Knight, K.",of  available,0,250,Yes: 34 students,In Person (See Delivery Instructions.),,BT 101,,,BT 101,,Wednesday,Science,Distribution Requirement:,https://map.utoronto.ca/?id=1809#!m/494605,"Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.",Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASSPE1540 SP APPLIED STATISTICS,ASSPE1687 SP DATA SCI,—,09:00,10:00,https://map.utoronto.ca/?id=1809#!m/494605
SPA,Topics in Portuguese Studies,PRT358H1-F,,,,"In years when this course is offered, topics are described in detail on the departmental webpage. Students can enrol in this course multiple times, as long as the topic of the course is different. For any questions, please check with the department.",PRT219Y1 or PRT220Y1 or PRT120Y1; PRT258H1; or Permission of the Department,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,13:00,15:00,VC 211,"Sa Carvalho Pereira, C.",of  available,16,20,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,
SMC,The Christian Book,CHC364H1-F,,,,"An interdisciplinary examination of the Bible as artifact and as an index of culture, art, and language. Topics include: the mediaeval giant Bibles, illuminated and illustrated Bibles, the Gutenberg Bible, The King James Bible, the Bible industry, the Bible online, the Bible as sacred object, sacred language and vernacular.",4.0 credits,Prerequisite:,SMC364H1,Exclusion:,CHC200H1/CHC367H1/SMC228H1/SMC229H1,Recommended Preparation:,Room,LEC0101,Wednesday,—,15:00,17:00,TF 202,"Tardif, S.",of  available,25,36,Yes: 0 student,In Person,,,,,,,,Humanities,Distribution Requirement:,https://map.utoronto.ca/?id=1809#!m/494581,,,,,,,,,,
STAT,Applied Bayesian Statistics,STA365H1-S,Delivery instructions,Note:,"Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.","Bayesian inference has become an important applied technique and is especially valued to solve complex problems. This course first examines the basics of Bayesian inference. From there, this course looks at modern, computational methods and how to make inferences on complex data problems.",STA302H1/STAC67H3/STA302H5,Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Wednesday,—,15:00,17:00,KP 108,,of  available,21,150,Yes: 0 student,In Person (See Delivery Instructions.),,,,,KP 108,—,Friday,,,https://map.utoronto.ca/?id=1809#!m/494488,,,,,,,—,15:00,16:00,https://map.utoronto.ca/?id=1809#!m/494488
SMC,"Christianity, Literature, and Theatre",CHC367H1-S,,,,"This course introduces students to works of literary and dramatic arts from throughout the global Christian tradition. The course explores the complex relationships that exist between religious, narrative, and performative imperatives; between theological and cultural sources; between authority and experience; and between writers, playwrights, and their readerships and audiences.",4.0 credits,Prerequisite:,"SMC201H1, SMC367H1",Exclusion:,"CHC203Y1, CHC215H1, CHC200H1",Recommended Preparation:,Room,LEC0101,Thursday,—,10:00,12:00,CR 103,"Tardif, S.",of  available,9,30,Yes: 0 student,In Person,,,,,,,,Humanities,Distribution Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,,,,,,,,,,
STAT,Financial Principles for Actuarial Science II,ACT370H1-S,Delivery instructions,Note:,"Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus. It is strongly recommended that students have a computer with a microphone and camera in order to participate in any online components of this course.","Mathematical theory of financial derivatives, discrete and continuous option pricing models, hedging strategies and exotic option valuation.","ACT240H1 (minimum 63%); ACT245H1 (minimum 63%); ACT247H1 (minimum 63%); (STA257H1, STA261H1); MAT237Y1/MAT257Y1",Prerequisite:,RSM435H1,Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,11:00,12:00,AH 100,,of  available,40,115,Yes: 0 student,In Person (See Delivery Instructions.),,AH 100,MS 3153,—,MS 3153,—,Wednesday,The Physical and Mathematical Universes (5),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494578,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),,—,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494491
SMC,The Bible and Biology,CHC370H1-F,,,,"Episodes and issues in the development of biology, genetics and evolutionary theory in relation to Christian understandings of the natural world, the human person, and God. Possible topics include genetic determinism, mind and intelligence, gender, reproductive technologies, cosmology and ecology.",4.0 credits,Prerequisite:,SMC370H1,Exclusion:,CHC203Y1/CHC232H1,Recommended Preparation:,Room,LEC0101,Thursday,—,14:00,16:00,TF 101,"Richard, J.",of  available,8,20,Yes: 0 student,In Person,,,,,,,,Humanities,Distribution Requirement:,https://map.utoronto.ca/?id=1809#!m/494581,,,,,,,,,,
STAT,Data Science II,JSC370H1-S,Delivery instructions,Note:,"Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.","This course is  students in the Data Science Specialist program. Students will learn to identify and answer questions through the application of exploratory data analysis, data visualization, statistical methods or machine learning algorithms to complex data. Software development for data science and reproducible workflows. Communication of statistical information at various technical levels, ethical practice of data analysis and software development, and teamwork skills. Topics will be explored through case studies and collaboration with researchers in other fields.","JSC270H1, STA261H1, MAT237Y1/MAT257Y1, CSC263H1, STA302H1, CSC343H1",Prerequisite:,STA303H1/STA305H1,Corequisite:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,15:00,17:00,ES 4000,,of  available,1,30,Yes: 0 student,In Person (See Delivery Instructions.),,,,,ES 4000,—,Thursday,The Physical and Mathematical Universes (5),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494499,restricted to,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASSPE1687 SP DATA SCI,,—,15:00,17:00,https://map.utoronto.ca/?id=1809#!m/494499
STAT,Basic Reserving Methods For P&C Insurance,ACT371H1-F,Delivery instructions,Note:,"Lectures will be in-person lectures weeks and online in others, or other ways of hybrid models including in person office hours.","Topics covered include reserving data and triangles, diagnoses methods that range from triangle of ratios of paid claims to reported claims to triangle of reported claim ratios. The syllabus also includes projection techniques. Not eligible for CR/NCR option.","ACT240H1, STA257H1",Prerequisite:,None,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC5101,Tuesday,—,17:00,20:00,MS 3278,"Orrett, T.",of  available,12,50,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,The Physical and Mathematical Universes (5),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494491,"Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.",,,,,,,,,
SMC,Faith and Physics,CHC371H1-F,,,,"The complex interplay between religious belief, culture, and the emergence of modern physical theory: rise and fall of mechanistic theories, relativity, particle physics and models of the Universe, Big Bang theory and Black Holes, etc.",4.0 credits,Prerequisite:,SMC371H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,AH 103,"Hincks, A.",of  available,11,20,Yes: 0 student,In Person,,,,,,,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494578,,,,,,,,,,
STAT,Basic Ratemaking Methods For P&C Insurance,ACT372H1-S,Delivery instructions,Note:,"Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus. It is strongly recommended that students have a computer with a microphone and camera in order to participate in any online components of this course.","This course covers the basic ratemaking methods for P&C insurance. It assumes that students are familiar with traditional reserving diagnoses and projection methods. The syllabus would introduce concepts related to earning of exposures, on-level factors, catastrophe loading, large loss loading and credibility. Not eligible for CR/NCR option.",ACT371H1,Prerequisite:,None,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC5101,Wednesday,—,18:00,21:00,MS 4279,,of  available,17,40,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,—,,,,https://map.utoronto.ca/?id=1809#!m/494491,,,,,,,,,,
SMC,The Celtic Book,CLT374H1-S,,,,"A study of the production of manuscripts, books and tracts that played a crucial role in the historical evolution of a national culture or cultures in the Celtic world.",9.0 credits,Prerequisite:,SMC374H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,AH 304,"SHEEHAN, P.",of  available,15,25,Yes: 0 student,In Person,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494578,,,,,,,,,,
SPA,Latin American Cinema,SPA375H1-F,Delivery instructions,Note:,It is recommended that students have a computer with a microphone and camera in order to participate in online activities.,"This online course examines the social, political, and cultural contexts of recent Latin American cinema. Topics include: military dictatorship and its aftermath, race and indigeneity; poverty, precarity, and inequality; gender and sexuality; and memory and trauma. The representation of these themes in Latin American cinema of the 21st century has contributed to an increase in its transnational and cosmopolitan reception. Focus is given to Argentina and Mexico, though films from other countries will be included. Taught in English.",INI115Y/INI212Y/SPA258H1,Recommended Preparation:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC9901,Wednesday,—,12:00,14:00,—,"Jagoe, E.",of  available,17,80,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,,,,,,,,,
SMC,The Celts in Cape Breton,CLT377H1-S,,,,"An examination of the ways in which Scottish, Irish, Newfoundlander, and other Celtic immigrants shaped the culture of Cape Breton and by extension Canada, with particular reference to language, literature, music and folklore.",4.0 credits,Prerequisite:,SMC377H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,15:00,17:00,TF 202,,of  available,9,20,Yes: 0 student,In Person,,,,,,—,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494581,,,,,,,,,,
SMC,St. Michael's College Independent Studies,SMC380H1-F,Timetable instructions,Note:,"For ""E"" indicator courses, please contact the SMC Program Administrator, Stephanie Taylor at sm.taylor@utoronto.ca or 416-926-7256 (50 St. Joseph Street, Odette Hall, Room 020, St. Michael's College).",An opportunity for students to pursue an independent course of study not otherwise available in the Faculty of Arts and Science. Application forms are available from the SMC Principal's Office. Not eligible for CR/NCR option.,Completion of 10.0 credits and written approval of a faculty supervisor and the SMC Principal.,Prerequisite:,,,,,Room,LEC0101,,—,,,—,,of  available,9999,9999,No,In Person,,,,,,—,,,,,,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
SMC,St. Michael's College Independent Studies,SMC380H1-S,Timetable instructions,Note:,"For ""E"" indicator courses, please contact the SMC Program Administrator, Stephanie Taylor at sm.taylor@utoronto.ca or 416-926-7256 (50 St. Joseph Street, Odette Hall, Room 020, St. Michael's College).",An opportunity for students to pursue an independent course of study not otherwise available in the Faculty of Arts and Science. Application forms are available from the SMC Principal's Office. Not eligible for CR/NCR option.,Completion of 10.0 credits and written approval of a faculty supervisor and the SMC Principal.,Prerequisite:,,,,,Room,LEC0101,,—,,,—,,of  available,9999,9999,No,In Person,,,,,,—,,,,,,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
SMC,St. Michael's College Independent Studies,SMC381Y1-Y,Timetable instructions,Note:,"For ""E"" indicator courses, please contact the SMC Program Administrator, Stephanie Taylor at sm.taylor@utoronto.ca or 416-926-7256 (50 St. Joseph Street, Odette Hall, Room 020, St. Michael's College).",An opportunity for students to pursue an independent course of study not otherwise available in the Faculty of Arts and Science. Application forms are available from the SMC Principal's Office. Not eligible for CR/NCR option.,Completion of 10.0 credits and written approval of a faculty supervisor and the SMC Principal.,Prerequisite:,,,,,,LEC0101,,—,,,—,,of  available,9997,9999,No,In Person,,,—,,,—,,,,,,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
SMC,Book and Media Internship,BMS386H1-F,Timetable instructions,Note:,"For ""E"" indicator courses, please contact the SMC Program Administrator, Stephanie Taylor at sm.taylor@utoronto.ca or 416-926-7256 (50 St. Joseph Street, Odette Hall, Room 020, St. Michael's College).",Credit is offered to a student doing an internship with a media organization. A faculty supervisor assesses and assigns the necessary written component cognate to the internship. Application forms are available from the SMC Principal's Office. Not eligible for CR/NCR option.,Enrolment in this course is intended for Book and Media Studies students not enrolled in the Arts & Science Internship (ASIP) stream of the program.,Prerequisite:,"(BMS100H1, BMS200Y1, BMS201H1) or SMC219Y1, and written permission of Program Coordinator and Director",Exclusion:,SMC386H1,Distribution Requirement:,Room,LEC0101,,—,,,—,,of  available,9994,9999,No,In Person,,,,,,—,,Humanities,Breadth Requirement:,,,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
