resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,headerSect 13,alignC,headerSect 91,weekDay href,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14
ANT,Landscape Archaeology,ANT409H1-S,,,,"Archaeological survey, spatial analysis of archaeological evidence over landscapes and territories, and ways archaeologists attempt to interpret landscapes, regional settlement systems, agricultural land use, regional exchange and communication, and past people's perceptions of or ideas about landscape.",ARH305H1,Prerequisite:,GGR270H1,Recommended Preparation:,LEC0101,Tuesday,—,10:00,12:00,AP 130,,"Banning, E.",of  available,0,18,Yes: 2 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0155 MA ARCHAEOLOGY,ASMAJ1775 MA ANTHROPOLOGY,ASMIN0155 MI ARCHAEOLOGY,ASMIN1291 MI ENVIRONMENTAL ANTHROPOLOGY,,,Room,https://map.utoronto.ca/?id=1809#!m/494472,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
HMB,Clinical Neuroimaging,JHA410H1-S,Timetable instructions,Note:,"This course will be part of HMB pre-enrolment. Eligible program students will receive via email a ballot to rank eligible 400-level courses in order of preference between June 1 and June 20, 2021, with decisions confirmed by July 9, 2021. Students who are not pre-enrolled in the course but meet the enrolment controls will be able to waitlist for the course once course enrolment starts.","This course focuses on the use of neuroimaging techniques in understanding how trauma, disorders, and disease impact neural structure and function. Lectures will focus on introduction to techniques and clinical/research applications. Lab work will focus on the development of practical skills including image processing, analyses, and experimental design.","9 FCE complete, PSL300H1, BIO230H1, HMB200H1/PSY290H1/ANA300Y1",Prerequisite:,HMB320H1,Recommended Preparation:,LEC0101,Thursday,—,10:00,12:00,RW 110,SS 561,"Dockstader, C.",of  available,6,147,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1472 MA HMB: NEUROSCIENCE  - Year 3,ASMAJ1472 MA HMB: NEUROSCIENCE  - Year 4,ASSPE1472 SP HMB: NEUROSCIENCE  - Year 3,ASSPE1472 SP HMB: NEUROSCIENCE  - Year 4,Activity,—,Room,https://map.utoronto.ca/?id=1809#!m/494515,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:
ANA,Anatomy in Application: Exercise & Biomechanics,ANA411H1-S,Timetable instructions,Note:,"To enroll in this course, please check the application instructions found at http://surgery.utoronto.ca/division-anatomy-arts-science-undergraduate-courses. Contact the Course Director to submit applications at judi.laprade@utoronto.ca Lab is Monday 12pm-2pm, Lecture is Wednesday 9am-12pm. Both are mandatory attendance.","This course will cover musculoskeletal anatomy (both upper and lower limb) topics with an emphasis on applying detailed anatomical review, biomechanical principles and research evidence to explain or clarify exercise principles and myths.",ANA126Y1 or ANA300Y1 (78%)  or equivalent,Prerequisite:,none,Exclusion:,LEC0101,Wednesday,—,09:00,12:00,Contact DEPT,Contact DEPT,"Laprade, J.",of  available,2,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:
ANT,Advanced Archaeological Theory,ANT411H1-S,,,,Seminar in the critical examination of major schools of archaeological thought.,ARH305H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Monday,—,14:00,16:00,AP 120,,"Cipolla, C.",of  available,9,25,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0155 MA ARCHAEOLOGY,ASMAJ1775 MA ANTHROPOLOGY,ASMIN0155 MI ARCHAEOLOGY,ASSPE0155 SP ARCHAEOLOGY,,,Room,https://map.utoronto.ca/?id=1809#!m/494472,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,
ANT,Archaeology of Ritual and Identity,ANT416H1-F,,,,"This course offers a comparative survey of archaeological approaches to ritual practice as it relates to identity politics, personhood, and the negotiation of power relations in past societies. An important goal of the seminar is to introduce students to social theories on the inherent materiality of ritual performance, whether orchestrated in everyday practice or in elaborate religious and political spectacles.",ARH305H1 and one of ANT100Y1/ANT200Y1/ANT356H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Thursday,—,14:00,16:00,ES 1016 M,,"Swenson, E.",of  available,1,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0155 MA ARCHAEOLOGY,ASMAJ1775 MA ANTHROPOLOGY,ASMIN0155 MI ARCHAEOLOGY,ASSPE0155 SP ARCHAEOLOGY,,,Room,https://map.utoronto.ca/?id=1809#!m/494499,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,
ANA,Anatomy of the Stem Cell Niche,ANA420H1-S,Timetable instructions,Note:,ANA420Y meets 2 hours per week for lectures. Two-hour tutorials are offered once per week.,This course introduces the anatomy and histology of stem cell niches in the adult and relates adult stem cells to organ function throughout the body. It is designed to build upon students’ knowledge of basic human anatomy and histology.,ANA300Y1/ANA301H1/HMB302H1,Prerequisite:,Science,Distribution Requirement:,LEC0101,Tuesday,—,10:00,12:00,Contact DEPT,,"Faiz, M.",of  available,19,30,Yes: 0 student,In Person,,,,,,,,Activity,—,Room,,Living Things and Their Environment (4),Breadth Requirement:,,
ANT,Archaeology of Inequality,ANT420H1-F,,,,"How social complexity is manifested in the archaeological record. Origins and evolution of prehistoric complex societies, from small-scale chiefdoms to large-scale states.",ANT200Y1 and ARH305H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Wednesday,—,12:00,14:00,AP 124,,"Coupland, G.",of  available,2,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0155 MA ARCHAEOLOGY,ASMAJ1775 MA ANTHROPOLOGY,ASMIN0155 MI ARCHAEOLOGY,ASMIN1291 MI ENVIRONMENTAL ANTHROPOLOGY,,,Room,https://map.utoronto.ca/?id=1809#!m/494472,Society and its Institutions (3),Breadth Requirement:,,
ANT,Language in Anthropological Thought,ANT425H1-F,,,,"How ideas about language fit into the overall views of humankind as expressed by selected anthropologists, linguists, sociologists, and philosophers.",ANT204H1 or ANT207H1 or ANT253H1 and 0.5 300+ level course from Group C,Prerequisite:,ANT425Y1; ANT325H1,Exclusion:,LEC0101,Thursday,—,12:00,14:00,AP 120,,"Yeung, S.",of  available,5,25,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,Room,https://map.utoronto.ca/?id=1809#!m/494472,Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:
ANT,Primate Conservation Biology,ANT430H1-F,,,,"The focus of this course is on the science of primate conservation biology in an anthropological context. Topics will include primate biodiversity and biogeography, human impacts, and conservation strategies/policies. The effects of cultural and political considerations on primate conservation will also be discussed.",ANT203Y1,Prerequisite:,Science,Distribution Requirement:,LEC0101,Tuesday,—,12:00,14:00,AB 114,,"Lehman, S.",of  available,1,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1510 MA ANTHROPOLOGY (BIOLOGICAL),ASMAJ1775 MA ANTHROPOLOGY,ASMIN1291 MI ENVIRONMENTAL ANTHROPOLOGY,ASSPE0155 SP ARCHAEOLOGY,,,Room,https://map.utoronto.ca/?id=1809#!m/494489,Living Things and Their Environment (4),Breadth Requirement:,,
ANT,The Real Planet of the Apes,ANT431H1-F,,,,"Through fossil labs and lectures, we look back over 30 to 5 million years ago when apes roamed from Spain to China and Germany to Southern Africa. The fossil record of these apes, our ancestors, reveals how we evolved our large brains, dexterous hands, extended growth period and incredible intelligence. We encounter many surprises along the way, such as apes living with pandas in Hungary, animals with a mix of monkey, ape and pig traits and apes the size of polar bears. Of the more than 100 species of fossil apes known, only one gave rise to us.",ANT203Y1,Prerequisite:,ANT335Y1 or ANT330Y1,Recommended Preparation:,LEC0101,Tuesday,—,10:00,12:00,AP 130,,"Martin, R.",of  available,1,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1510 MA ANTHROPOLOGY (BIOLOGICAL),ASMAJ1775 MA ANTHROPOLOGY,ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,Room,https://map.utoronto.ca/?id=1809#!m/494472,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:
ANT,Topics in Emerging Scholarship (Evolutionary Anthropology),ANT438H1-S,,,,"Taught by an advanced PhD student or postdoctoral fellow, and based on his or her doctoral research and area of expertise, this course presents a unique opportunity to explore intensively a particular Evolutionary Anthropology topic in-depth. Topics vary from year to year.",ANT203Y1 and 0.5 FCE 300+ Group B (Evolutionary) course,Prerequisite:,Science,Distribution Requirement:,LEC0101,Thursday,—,16:00,18:00,AP 124,,"Komza, K.",of  available,1,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1510 MA ANTHROPOLOGY (BIOLOGICAL),ASMAJ1775 MA ANTHROPOLOGY,ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494472,Living Things and Their Environment (4),Breadth Requirement:,,
ANT,Multispecies Cities,ANT450H1-F,,,,"As of 2007, for the first time in human history, more than half the world’s peoples lived in cities. It is estimated that by 2030 over 60% will be urban-dwellers. This demographic shift suggests that for many (if not most) people, their primary encounter with “nature” will be urban based. This course explores the idea of “urban-nature” by 1) focusing on the ways in which various theorists have challenged traditional ways of viewing both “the city” and “nature” and 2) encouraging students to develop their own critical perspectives through ethnographic engagements with the city of Toronto.","ANT204H1 or ANT207H1 and a 300-level course or above in Society, Culture and Language",Prerequisite:,Social Science,Distribution Requirement:,LEC5101,Tuesday,—,18:00,20:00,TC 22,,"Gilbert, E.",of  available,1,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASMIN1291 MI ENVIRONMENTAL ANTHROPOLOGY,ASSPE0155 SP ARCHAEOLOGY,,,Room,https://map.utoronto.ca/?id=1809#!m/494461,Society and its Institutions (3),Breadth Requirement:,,
ANT,Ethnographic Approaches to the Middle East and North Africa,ANT455H1-S,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,"This course explores the literature and concerns of anthropologists conducting ethnographic research in the greater Middle East and North Africa (MENA). It is designed for students with a background in social and cultural anthropology who wish to become familiar with the social and religious complexity of the MENA region, and the anthropological questions it has compelled. Islam has long been the area's principal social and historical force and thus provides the backdrop for much, but not all, of the ethnography considered in the course. Moreover, Muslim majority MENA countries exhibit considerable social and sectarian diversity. Readings and lectures attend to differences as well as resemblances, while considering issues such as gender roles, kinship, marriage, local level practices, medicine, secularism, 'public Islam,' nationalism, and the persistent problem of orientalism.",ANT207H1,Prerequisite:,"ANTC89H3; ANT484H1 (Topics: Ethnography of the Middle East and North Africa) taken in Winter 2014; ANT384H1 (Topics: Peoples of the Middle East and North Africa) taken in Winter 2017, Winter 2018.",Exclusion:,LEC0101,Wednesday,—,12:00,14:00,ES 1016M,,"Kassamali, S.",of  available,8,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,Room,https://map.utoronto.ca/?id=1809#!m/494499,"NMC241H1, RLG204H1, NMC283Y1",Recommended Preparation:,Social Science,Distribution Requirement:
ANT,Anthropology of Material Culture,ANT457H1-F,,,,"The course addresses the cultural and social significance of material culture in specific cultural settings, and the role that artifacts have played in the history of anthropological thought from early typological displays to the most recent developments of material culture studies.",ANT200Y1 or ANT207H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,10:00,12:00,UC 257,,"Forni, S.",of  available,0,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,Room,https://map.utoronto.ca/?id=1809#!m/494517,Creative and Cultural Representations (1),Breadth Requirement:,,
ANT,Settler-Colonialism and Indigenous Health in Canada,ANT458H1-F,,,,"This course draws on anthropological and historical literatures to explore the relationship between the health of Indigenous people and Canadian settler-colonialism. In conceptualising this relationship, we focus on critical analysis of the role of biomedical health-care systems in settler-colonial governmentality, and how history is understood in discourses on Indigenous health.","Any 300-level course in Society, Culture and Language or INS350H1 or INS355H1 or JFP450H1 or permission of the instructor",Prerequisite:,ANT345H1 or ANT348H1 or ANT358H1,Recommended Preparation:,LEC0101,Wednesday,—,14:00,16:00,AP 124,,"Maxwell, K.",of  available,1,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,Room,https://map.utoronto.ca/?id=1809#!m/494472,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
ANT,Multispecies Ethnography,ANT459H1-F,,,,"This course introduces perspectives which extend anthropological inquiry beyond the solely human realm. Building on an acknowledgement of the fundamental interconnectedness of humans and other life forms, it explores the agencies of other-than-humans, including nonhuman animals, land and seascapes, plants, bacteria, “contaminants,” and others. The course involves field-site visits and fieldwork projects in Toronto (GTA region) and engages with ethnographic methodologies best suited to investigations of inter-species, inter-life form relationships.",ANT376H1 or three 300-level anthropology courses in any subfield or permission of instructor,Prerequisite:,Social Science,Distribution Requirement:,LEC5101,,,,,,,,,,,,,,,,,,,,,—,Room,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,
ANT,Global Perspectives on Women's Health,ANT460H1-S,,,,"This fourth-year seminar examines how female gender shapes health and illness. Using case studies of sexual health, fertility and its management, substance use/abuse, mental health, and occupational/labor health risks, the course investigates the material, political, and socio-cultural factors that can put women at risk for a range of illness conditions.",ANT343H1/ANT345H1/ANT348H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,14:00,16:00,IN 223,,"Wardlow, H.",of  available,0,18,Yes: 12 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,Room,https://map.utoronto.ca/?id=1809#!m/494541,Society and its Institutions (3),Breadth Requirement:,,
ANT,Anthropology of Affect,ANT462H1-F,,,,"This course examines how anthropologists have studied the way that people hope, imagine, love, and despise. Ethnography of the intimate realms of affect raises important questions about knowledge production and methodology as well as offering insight into how people come to act upon the world and what the human consequences of such action are. The course will also examine how the intimate is socially produced and harnessed in the service of politics and culture. Topics will include grief and its lack; dreams and activism; love and social change; memory and imperialism; sexuality and care; and violence and hope.","ANT207H1 and any 300-level course in Society, Culture and Language",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,12:00,14:00,AP 124,,"Napolitano, V.",of  available,0,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,Room,https://map.utoronto.ca/?id=1809#!m/494472,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,
ANT,Ethnographic Practicum: The University,ANT473H1-F,,,,"Students carry out original ethnographic research projects on some aspect of life in the University of Toronto: its students, staff and faculty; its hierarchies and habits; and the everyday practices in classrooms, labs, dining halls, offices, clubs, and residence corridors. Class time is used for collective brainstorming, feedback and analysis.",ANT380H1 or permission of the instructor,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Wednesday,—,10:00,13:00,LM 123,,"Li, T.",of  available,2,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,Room,https://map.utoronto.ca/?id=1809#!m/494502,Society and its Institutions (3),Breadth Requirement:,,
ANT,Reading Ethnography,ANT475H1-F,,,,"Students read several full-length ethnographies, both classical and contemporary, and debate what makes for sound ethnographic research and writing, as well as what ethnography is and ""should"" be as a genre of writing and representation.",ANT207H1 and ANT370H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,14:00,16:00,OI 2296,,"Mittermaier, A.",of  available,16,25,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,,,,Room,https://map.utoronto.ca/?id=1809#!m/494563,Society and its Institutions (3),Breadth Requirement:,,
ANT,Special Topics in Archaeology,ARH482H1-F,,,,Unique opportunity to explore a particular archaeological topic in-depth. Topics vary from year to year.,ARH305H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Thursday,—,10:00,12:00,BF 415,BF 415,"Sapirstein, P.",of  available,4,12,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0155 MA ARCHAEOLOGY,ASMAJ1775 MA ANTHROPOLOGY,ASMIN0155 MI ARCHAEOLOGY,ASSPE0155 SP ARCHAEOLOGY,Subtitle,—,Room,https://map.utoronto.ca/?id=1809#!m/494497,,,,
ANT,Special Topics in Archaeology,ARH482H1-S,,,,Unique opportunity to explore a particular archaeological topic in-depth. Topics vary from year to year.,ARH305H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Thursday,—,10:00,12:00,AP 124,,"Chazan, M.",of  available,10,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0155 MA ARCHAEOLOGY,ASMAJ1775 MA ANTHROPOLOGY,ASMIN0155 MI ARCHAEOLOGY,ASSPE0155 SP ARCHAEOLOGY,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494472,,,,
ANT,Special Topics in Linguistic Anthropology,ANT483H1-S,,,,This course will focus on an advanced topic in Linguistic Anthropology. Topic will vary from year- to-year.,"ANT253H1 and 1.0 FCE 300 level Group C (Society, Culture and Language) course",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Wednesday,—,10:00,12:00,BL 312,,"Yeung, S.",of  available,9,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494536,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,
ANT,Special Topics in Social Cultural Anthropology,ANT484H1-F,,,,Unique opportunity to explore a particular Social Cultural Anthropology topic in-depth. Topics vary from year to year.,"ANT207H1 and 1 FCE 300 level Group C (Society, Culture and Language) course",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Wednesday,—,16:00,18:00,WW 121,,"Ozcan, O.",of  available,2,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494547,Society and its Institutions (3),Breadth Requirement:,,
ANT,Special Topics in Social Cultural Anthropology,ANT484H1-S,,,,Unique opportunity to explore a particular Social Cultural Anthropology topic in-depth. Topics vary from year to year.,"ANT207H1 and 1 FCE 300 level Group C (Society, Culture and Language) course",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Wednesday,—,16:00,18:00,BL 312,,"Dave, N.",of  available,0,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494536,Society and its Institutions (3),Breadth Requirement:,,
ANT,"Topics in Emerging Scholarship (Society, Culture and Language)",ANT485H1-F,,,,"Taught by an advanced PhD student or postdoctoral fellow, and based on his or her doctoral research and area of expertise, this course presents a unique opportunity to explore intensively a particular Socio-cultural or Linguistic Anthropology topic in-depth. Topics vary from year to year.","ANT207H1 and 1 FCE 300+ Group C (Society, Culture and Language) course",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Thursday,—,14:00,16:00,AP 124,,"Jaworski, S.",of  available,11,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494472,Society and its Institutions (3),Breadth Requirement:,,
ANT,Special Topics: Socio-Cultural Research Seminar,ANT486H1-F,,,,Unique opportunity to explore a particular Social Cultural Anthropology topic in-depth. Topics vary from year to year.,"ANT207H1 and 1 FCE 300+ Group C (Society, Culture and Language) course",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,16:00,18:00,AP 124,,"Ozcan, O.",of  available,11,18,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE0155 SP ARCHAEOLOGY,ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494472,Society and its Institutions (3),Breadth Requirement:,,
