resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt href,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,extraTxt 14,extraTxt 15,legendControl 5,extraTxt 16,weekDay 3,enConList 3,enConList 4,headerSect 8,headerSect 9,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,weekDay href 2,alignC,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,extraTxt 17,weekDay 6,dayInfo 7,dayInfo 8,dayInfo 9,colInst 2
PCL,Neuropsychopharmacology 1,PCL475H1-F,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Willets Burnham, .",mac.burnham@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/mac.burnham@utoronto.ca,"Students will explore the major CNS neurological syndromes, examples include pain, epilepsy, the sleep-wake cycle and relate neurological abnormalities. Lectures will discuss major classes of drugs used to mitigate and treat these disorder, their mechanisms of action, clinical use and unwanted effects. This course was previously offered as PCL475Y1.",Completion of at least 9.0 FCE,Prerequisite:,PCL475Y1,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Monday,—,10:00,12:00,,,"Burnham, W.",0,50,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3   Department of Pharmacology   (Faculty of Arts and Science),Year 4   Department of Pharmacology   (Faculty of Arts and Science),in-person,Note:,Delivery instructions,"Lectures will be delivered online per the meeting schedule (synchronous), with tutorials taking place in-person. All term assessments will take place  during scheduled course lecture time (i.e., MO 10-12 or TH 10-11).",—,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 3,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,https://map.utoronto.ca/?id=1809#!m/494459,—,of  available,2,25,No,In Person (See Delivery Instructions.),,Thursday,—,10:00,11:00,
PCL,Neuropsychopharmacology 2,PCL476H1-S,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Willets Burnham, .",mac.burnham@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/mac.burnham@utoronto.ca,"Students will explore the major CNS neurological syndromes which may include anxiety, schizophrenia and depression/mania and their relate neurological abnormalities. Lectures will discuss major classes of drugs used to mitigate and treat these disorders, their mechanisms of action, clinical use and unwanted effects.","Completion of at least 9.0 FCE, and PCL475H1 (or Permission of the Department)",Prerequisite:,PCL475Y1; PSY396H1,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Monday,—,10:00,12:00,MS 2173,https://map.utoronto.ca/?id=1809#!m/494491,"Burnham, W.",0,50,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3   Department of Pharmacology   (Faculty of Arts and Science),Year 4   Department of Pharmacology   (Faculty of Arts and Science),,,,,,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 3,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494491,,,,,,,,Thursday,—,10:00,12:00,"Intson, K."
PCL,The DNA Damage Response in Pharmacology and Toxicology,PCL477H1-F,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Peter McPherson, . Please do not contact the listed instructors for course-related questions.",peter.mcpherson@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/peter.mcpherson@utoronto.ca,Many anticancer drugs and environmental agents exert their cytotoxic effects through DNA damage. This course explores specific pharmacological and toxicological agents that damage DNA and discusses how mammalian cells respond to this DNA damage.,BCH210H1/BCH242Y1,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Monday,—,11:00,12:00,MC 252,https://map.utoronto.ca/?id=1809#!m/494474,"McPherson, J.",41,100,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3   Department of Pharmacology   (Faculty of Arts and Science),Year 4   Department of Pharmacology   (Faculty of Arts and Science),,,,,,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 3,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494474,,,,,,,,Wednesday,—,10:00,11:00,
PCL,The Molecular and Biochemical Basis of Toxicology,PCL481H1-S,Timetable instructions,Note:,Student inquiries should be directed to  Please do not contact the listed instructors for course-related questions.,undergrad.pharmtox@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/undergrad.pharmtox@utoronto.ca,The biochemical principles and molecular mechanisms underlying the toxicity of drugs and foreign agents. The sequence of events at the molecular level leading to impairment of cell function and the factors which determine and affect toxicity.,PCL302H1,Prerequisite:,"PCL362H1, BCH210H1/BCH242Y1",Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,MC 254,https://map.utoronto.ca/?id=1809#!m/494474,"Matthews, J.",10,50,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2573 MA BIOMEDICAL TOXICOLOGY  - Year 3,ASMAJ2573 MA BIOMEDICAL TOXICOLOGY  - Year 4,,,,,,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 3,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,,,,,,,,,,,,,,,,,,,,
PCL,Biomedical Toxicology,PCL482H1-F,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Peter McPherson, . Please do not contact the listed instructors for course-related questions.",peter.mcpherson@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/peter.mcpherson@utoronto.ca,"This course explores several contemporary topics in biomedical toxicology with emphasis on how chemicals affect human health. Lectures cover principles of toxicology, the mechanisms of toxicity of a wide variety of toxic agents and the associated toxicities, methodologies used to examine chemical toxicities, risk assessment, and the applications of toxicology.","(PCL201H1, PCL302H1, PCL362H1); a minimum of 14 FCE or Permission of Department.",Prerequisite:,PCL473Y1,Exclusion:,BCH210H1 + BCH311H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,09:00,12:00,MS 2170,https://map.utoronto.ca/?id=1809#!m/494491,"Lala, P.",30,75,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 4   Department of Pharmacology   (Faculty of Arts and Science),ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,Living Things and Their Environment (4),Note:,Delivery instructions,"The majority of lectures will be delivered in-person, with some guest lectures delivered online (synchronously) per the meeting schedule/syllabus.",,,,,,,,,,,,,,,,,,Breadth Requirement:,,,,,"McPherson, J."
PCL,Interdisciplinary Toxicology,PCL483H1-S,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Peter McPherson, . Please do not contact the listed instructors for course-related questions.",peter.mcpherson@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/peter.mcpherson@utoronto.ca,"This course explores several contemporary topics in biomedical and environmental toxicology with emphasis on how chemicals affect human health. Lectures cover principles of toxicology, the mechanisms of toxicity of a wide variety of toxic agents and the associated toxicities, methodologies used to examine chemical toxicities, risk assessment, and the applications of toxicology.","(PCL201H1, PCL302H1, PCL362H1) or Permission of the Course Coordinator",Prerequisite:,PCL473Y1,Exclusion:,BCH210H1 + BCH311H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,09:00,12:00,GB 119,https://map.utoronto.ca/?id=1809#!m/494473,"Arnot, J.",34,80,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3   Department of Pharmacology   (Faculty of Arts and Science),Year 4   Department of Pharmacology   (Faculty of Arts and Science),Living Things and Their Environment (4),Note:,Delivery instructions,"The majority of lectures will be delivered in-person, with some guest lectures delivered online (synchronously) per the meeting schedule/syllabus.",,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 3,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,,,,,,,,,,,,,,,Breadth Requirement:,,,,,"McPherson, J."
NUSCI,Advanced Nutrition,NFS484H1-F,,,,,,"Physiological and biochemical features of nutrient needs. The roles of nutrients in the development and adaptability of the whole body, organs and cells. Interpretation of current research data.","BCH210H1, CSB349H1/PSL350H1/BCH311H1, NFS284H1, (PSL300H1, PSL301H1)/PSL302Y1, (STA220H1, STA221H1/JBS229H1) or permission of instructor",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Thursday,—,09:00,12:00,MS 2170,https://map.utoronto.ca/?id=1809#!m/494491,"Ricciuto, L.",22,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUSCI,"Diet, Microbiome & Health",NFS485H1-F,,,,,,Provides an integrated approach to how prokaryotes modulate nutrient availability and how they interact with the host to impact human health from a molecular perspective.,"BCH210H1, CSB349H1/PSL350H1/BCH311H1/MGY311Y1, NFS284H1, (PSL300H1, PSL301H1)/PSL302Y1 or permission of the instructor",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,13:00,16:00,MS 2170,https://map.utoronto.ca/?id=1809#!m/494491,"Comelli, E.",21,80,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUSCI,Obesity: Metabolic and Clinical Aspects,NFS486H1-S,,,,,,Obesity and its co-morbidities illustrated with pathophysiological and biochemical principles and clinical case studies.,"BCH210H1,NFS284H1, (PSL300H1, PSL301H1)/PSL302Y1",Prerequisite:,"CSB349H1/PSL350H1/BCH311H1,(STA220H1, STA221H1)",Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Wednesday,—,09:00,12:00,MS 2170,https://map.utoronto.ca/?id=1809#!m/494491,,3,100,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,—,,,,,,,,,,,
NUSCI,Nutrigenomics and Personalized Nutrition,NFS487H1-F,,,,,,"The impact of the human genome on nutrition research. Experimental approaches to investigating gene-diet interactions. Understanding how genetic variability affects nutrient response, and how dietary factors regulate gene expression. Application of the various ‘omics’ technologies to nutrition research as well as exploring the social, legal and ethical issues associated with direct-to-consumer marketing of genetic tests for personalized nutrition.","NFS284H1, CSB349H1/PSL350H1/BCH311H1",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,13:00,16:00,MS 2173,https://map.utoronto.ca/?id=1809#!m/494491,"El-Sohemy, A.",41,80,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUSCI,Nutritional Toxicology,NFS488H1-S,,,,,,"Occurrence, mechanism of action, safety and health implications of chemicals naturally present in or added to foods. Interactions of nutrients and toxicants and the effects on their metabolism and utilization. Food safety evaluation and regulatory control.","BCH210H1, NFS284H1",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,13:00,16:00,ES B142,https://map.utoronto.ca/?id=1809#!m/494499,,53,85,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,—,,,,,,,,,,,
NUSCI,Nutritional Neurosciences,NFS489H1-F,,,,,,This course provides an integrated approach to how brain function regulates and in turn is regulated by nutrition from a biochemical perspective.,"BCH210H1, BCH311H1/CSB349H1/PSL350H1, NFS284H1, PSL302Y1/(PSL300H1, PSL301H1)",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Monday,—,09:00,12:00,VC 323,https://map.utoronto.ca/?id=1809#!m/494602,"Bazinet, R.",39,100,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUSCI,International and Community Nutrition,NFS490H1-S,,,,,,"This course focuses on current issues in international and community nutrition including global and domestic food security, micronutrient deficiencies and other forms of undernutrition, maternal and infant/child nutrition, dietary guidance, and food and nutrition policy. The course will consider the environmental, sociopolitical, cultural and biosocial contexts of nutrition.",NFS284H1,Prerequisite:,GGR107Y1/POL103Y1/SOC101Y1,Recommended Preparation:,Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,09:00,12:00,OI 2214,https://map.utoronto.ca/?id=1809#!m/494563,,0,80,Yes: 3 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,—,,,,,,,,,,,
PCL,Advanced Topics in Pharmacology and Toxicology,PCL490H1-S,Timetable instructions,Note:,"Drugs, Poisons, and Public Policy: The Role of Pharmacology &Toxicology in Policy-Making Student inquiries should be directed to the course department: .",undergrad.pharmtox@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/undergrad.pharmtox@utoronto.ca,An opportunity to expand on innovative and unique topics in Pharmacology and Toxicology that are not already extensively addressed. The course will reveal the dynamic nature of the field and the diverse interests of our faculty. Students will be introduced to leading edge topics and research within the discipline of Pharmacology and Toxicology.,"PCL302H1, and one of STA288H1/STA220H1/PCL376H1, a minimum of 14.0 FCE or Permission of the Department",Prerequisite:,PCL469H1/PCL470H1/PCL482H1/PCL483H1,Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Thursday,—,15:00,17:00,HS 614,https://map.utoronto.ca/?id=1809#!m/494459,"Rachamin, G.",0,20,Yes: 16 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ2082 MA PHARMACOLOGY  - Year 4,ASMAJ2573 MA BIOMEDICAL TOXICOLOGY  - Year 4,,,,,,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,ASSPE2082 SP PHARMACOLOGY  - Year 4,,,,,,,,,,,,,,,,,,,,
NUSCI,Research Projects in Nutritional Sciences,NFS494Y1-Y,,,,,,Research experience under the supervision of a Departmental staff member. The course entails designing and carrying out a small research project and the preparation and presentation of both a research proposal and a final report. Note that the research project NFS494Y1 requires the prior consent of a staff member who will supervise the project and departmental approval before enrolment. The student is responsible for locating a supervisor. Not eligible for CR/NCR option.,"NFS284H1, Permission of Department and Project Supervisor",Prerequisite:,Science,Distribution Requirement:,,,,,,LEC0101,—,—,,,—,,"L'Abbe, M.",9980,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAF,Peace and Conflict Studies Independent Study Course,PCJ499H1-F,,,,,,"This course is designed to provide students with the opportunity to explore topics not covered in the curriculum, or to develop a more detailed focus on topics covered. Approval of the program director is required. The student must obtain written agreement of the instructor who will supervise the independent study, submit the proposal to and obtain approval from the director and program administrator, who will then add the student to the course. Not eligible for CR/NCR option.",Applications are due two weeks before course enrollment deadlines for each semester.,Prerequisite:,PCJ260Y1,Exclusion:,PCS499H1,Recommended Preparation:,"For students enrolled in the Peace, Conflict and Justice Major or Specialist program.",Distribution Requirement:,Room,LEC0101,,—,,,,,,18,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,"ASMAJ1228 MA PEACE, CONFLICT & JUSTICE","ASSPE0575 SP IR/PEACE,CONFLICT & JUSTICE",Social Science,Society and its Institutions (3),,,—,"ASSPE1228 SP PEACE, CONFLICT & JUSTICE",,,,,,,,,,—,,,,,,Breadth Requirement:,,,,,
GLAF,Peace and Conflict Studies Independent Study Course,PCJ499H1-S,,,,,,"This course is designed to provide students with the opportunity to explore topics not covered in the curriculum, or to develop a more detailed focus on topics covered. Approval of the program director is required. The student must obtain written agreement of the instructor who will supervise the independent study, submit the proposal to and obtain approval from the director and program administrator, who will then add the student to the course. Not eligible for CR/NCR option.",Applications are due two weeks before course enrollment deadlines for each semester.,Prerequisite:,PCJ260Y1,Exclusion:,PCS499H1,Recommended Preparation:,"For students enrolled in the Peace, Conflict and Justice Major or Specialist program.",Distribution Requirement:,Room,LEC0101,,—,,,,,,20,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,"ASMAJ1228 MA PEACE, CONFLICT & JUSTICE","ASSPE0575 SP IR/PEACE,CONFLICT & JUSTICE",Social Science,Society and its Institutions (3),,,—,"ASSPE1228 SP PEACE, CONFLICT & JUSTICE",,,,,,,,,,—,,,,,,Breadth Requirement:,,,,,
GLAF,Peace and Conflict Studies Independent Study Course,PCJ499H1-Y,,,,,,"This course is designed to provide students with the opportunity to explore topics not covered in the curriculum, or to develop a more detailed focus on topics covered. Approval of the program director is required. The student must obtain written agreement of the instructor who will supervise the independent study, submit the proposal to and obtain approval from the director and program administrator, who will then add the student to the course. Not eligible for CR/NCR option.",Applications are due two weeks before course enrollment deadlines for each semester.,Prerequisite:,PCJ260Y1,Exclusion:,PCS499H1,Recommended Preparation:,"For students enrolled in the Peace, Conflict and Justice Major or Specialist program.",Distribution Requirement:,,LEC0101,—,—,,,—,,,5,5,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,"ASMAJ1228 MA PEACE, CONFLICT & JUSTICE","ASSPE0575 SP IR/PEACE,CONFLICT & JUSTICE",Social Science,Society and its Institutions (3),,,,"ASSPE1228 SP PEACE, CONFLICT & JUSTICE",,,,,,,,,,—,,,,,,Breadth Requirement:,,,,,
GLAF,Peace and Conflict Studies Independent Study Course,PCJ499Y1-Y,,,,,,"This course is designed to provide students with the opportunity to explore topics not covered in the curriculum, or to develop a more detailed focus on topics covered. Approval of the program director is required. The student must obtain written agreement of the instructor who will supervise the independent study, submit the proposal to and obtain approval from the director and program administrator, who will then add the student to the course. Not eligible for CR/NCR option.",Applications are due two weeks before course enrollment deadlines for each semester.,Prerequisite:,PCJ260Y1,Exclusion:,PCS499H1,Recommended Preparation:,"For students enrolled in the Peace, Conflict and Justice Major or Specialist program.",Distribution Requirement:,,LEC0101,—,—,,,—,,,9998,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,Social Science,Society and its Institutions (3),,,,,,,,,,,,,,—,,,,,,Breadth Requirement:,,,,,
