resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,extraTxt 15,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,weekDay href,weekDay 4,weekDay href 2,weekDay 5,weekDay href 3,weekDay 6,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,weekDay 7,dayInfo 7,dayInfo 8,dayInfo 9,weekDay 8,dayInfo 10,dayInfo 11,dayInfo 12,weekDay 9,weekDay 10,weekDay 11,headerSect 13,headerSect 14,headerSect 15,headerSect 16,headerSect 17,headerSect 18,colCode 3,weekDay 13,dayInfo 13,dayInfo 14,dayInfo 15,dayInfo 16,dayInfo 17,dayInfo 18,weekDay href 9,weekDay href 10,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,headerSect 19,headerSect 20,headerSect 21,headerSect 22,headerSect 23,headerSect 24,colCode 4,weekDay 22,colAvail 4,numCurr 4,numTot 4,numWait 4,onlineMeeting 4,headerSect 25,headerSect 26,headerSect 27,headerSect 28,headerSect 29,headerSect 30,colCode 5,colAvail 5,numCurr 5,numTot 5,numWait 5,onlineMeeting 5,headerSect 31,headerSect 32,headerSect 33,headerSect 34,headerSect 35,colCode 6,colAvail 6,numCurr 6,numTot 6,numWait 6,onlineMeeting 6,headerSect 37,headerSect 38,headerSect 39,headerSect 40,headerSect 49,alignC,alignC 2,alignC 3,alignC 5,extraTxt 16
IHPST,Reading and Writing about Physics,HPS413H1-S,Delivery instructions,Note:,Lectures will be available only as online synchronously and in person at scheduled times. Students will not be expected to watch asynchronous lecture videos prior to class meetings. It is recommended that students have a computer with a microphone and camera in order to participate in online activities.,"Historians, philosophers, and sociologists have produced a wealth of literature on the analysis and examination of physics from the early modern period to the present. In this seminar, we read and discuss in depth a collection of recent classics and cutting-edge works on the historical studies of physics. Students also conduct research based on this literature. We aim to use physics as a lens to understanding key themes in the making of modern science, from incommensurability, epistemic cultures, and historical ontology, to materiality, social construction, pedagogy, and countercultures.",At least one HPS course,Develop the ability to read scholarly books and conduct research in history of science,Prerequisite:,Humanities,Recommended Preparation:,"Thought, Belief and Behaviour (2)",Distribution Requirement:,LEC0101,Monday,—,10:00,12:00,,,,,,,,,"Yeang, C.",of  available,13,20,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494600,,,,,,,,,,,,,,NF 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,Breadth Requirement:
HIS,Down and Out in Medieval Europe,HIS414H1-F,,,,"Explores the life conditions of individuals on the lower echelons of medieval society (the poor, servants and apprentices, the exiled, prisoners, slaves, foreigners and lepers). In parallel, we will discuss the various conceptions of poverty that prevailed in the Middle Ages. These objectives will allow us to glimpse the European Middle Ages from an unusual angle as well as reflect on important socio-economic and religious changes.",A course on the Middle Ages in any discipline,Humanities,Recommended Preparation:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Tuesday,—,14:00,16:00,,,,,,,,,"Cochelin, I.",of  available,0,16,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494517,,,,,,,,,,,,,,UC B203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,"Early Modern English Popular Culture, 1500-1800",HIS422H1-F,,,,"Deals with issues of orality, literacy, gender, class, cultural bricolage and vernacular epistemology – the constituents of popular, as opposed to elite knowledge - through the study of folklore, magic, religion, drink, sex, riot and festivity in early modern England. Some background in medieval and/or early modern history or literature is highly recommended. Extensive work will be undertaken with primary printed sources.",One of HIS101Y1/HIS109Y1/HIS220Y1/HIS243H1/HIS244H1/HIS368H1/HIS337H1/HIS349H1/HIS357Y1,"HIS496H1 (Topics in History: Early Modern English Popular Culture, 1600-1800); offered in Summer 2018",Prerequisite:,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,LEC5101,Thursday,—,17:00,19:00,,,,,,,,,"Mori, J.",of  available,2,11,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494517,,,,,,,,,,,,,,UC 255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,Breadth Requirement:
HIS,Social History of Medicine in the 19th & 20th Centuries,HIS423H1-F,,,,"Introduces students to current issues in the social history of medicine and some of the major developments in the modern history of the discipline. The format is class discussion based on themes covered in the course textbook, covering such topics as the history of the doctor-patient relationship, changes in physicians' social status, changing attitudes toward the body, and the evolution of various medical and surgical specialites including obstetrics and gynecology. (Joint undergraduate-graduate).",HIS423Y1,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Thursday,—,16:00,18:00,,OA 402,,,,,,,"Shorter, E.",of  available,0,20,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 4      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
GER,Medieval Language and Culture,GER426H1-F,Timetable instructions,Note:,This course is taught in German.,"This course offers an introduction to the language, literature and culture of Medieval Germany. The reading and translation of exemplary medieval German texts will introduce students to Middle High German and provide an insight into epochal concepts like courtly love and chivalry as well as courtly and monastic designs of identity.","GER300Y1, GER205H1",Humanities,Prerequisite:,Creative and Cultural Representations (1),Distribution Requirement:,,Breadth Requirement:,LEC0101,Friday,—,10:00,12:00,,,,,,,,,"Stock, M.",of  available,23,30,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494517,,,,,,,,,,,,,,UC 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
GER,Topics in German Literature and Culture,GER430H1-S,Timetable instructions,Note:,This course is taught in German.,An open course which explores specific aspects of German literature and culture.,GER305H1,Humanities,Prerequisite:,Creative and Cultural Representations (1),Distribution Requirement:,,Breadth Requirement:,LEC0101,Friday,—,13:00,15:00,,,,,,,,,,of  available,12,20,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494600,,,,,,,,,,,,,,NF 235,,,,,,,,,,,,,,,,,,,,,Subtitle,,,,,,,,,,,,Room,,,,—,
HIS,Polish Jews Since the Partition of Poland,HIS433H1-S,,,,"To explore the history of Polish Jews from the Partitions of Poland to the present time, concentrating on the 19th and the first half of the 20th centuries: situation of Polish Jews in Galicia; Congress Kingdom of Poland; Prussian-occupied Poland before 1914; during World War II; and post-war Poland. Focus on an analysis of primary sources. (Joint undergraduate-graduate)",HIS208Y1/HIS251Y1/permission of the instructor,Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Thursday,—,09:00,11:00,,,,,,,,,"Wrobel, P.",of  available,0,11,Yes: 1 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,,SS 2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,Themes in Toronto History,HIS435H1-S,,,,"This course will examine aspects of Toronto’s history. It is not a general survey of Toronto history; instead, the course will normally revolve around a specific theme or group of themes. Specific themes vary by year, depending on the focus of the instructor. Strong emphasis will be placed on reading and research.",HIS263Y1/HIS264H1,Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Tuesday,—,15:00,17:00,,,,,,,,,"Mills, S.",of  available,0,16,Yes: 4 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,,SS 2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,Telling Lies About Hitler: Frauds and Famous Feuds Among German Historians,HIS437H1-F,,,,"Examines historiographical controversies and their public reception. Topics include the forged Hitler diaries, the David Irving trial, German responsibility for 1914, Daniel Goldhagen’s “eliminationist” thesis, Auschwitz as an “Asiatic deed,” Wehrmacht complicity in the Holocaust and retrospective films about East Germany.",HIS317H1/HIS330H1 or permission of the instructor,Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Monday,—,11:00,13:00,,,,,,,,,"Retallack, J.",of  available,2,14,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,,SS 2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
PHY,Physical Science in Contemporary Society,JPH441H1-S,,,,"This course will discuss the complex, real-life, ethical, and philosophical issues behind how science gets done, including questions such as how we as scientists strive to determine the truth; who determines what science is done, and on what basis; how we as a community manage science and make decisions about education, authorship, publication, hiring, et cetera (including issues related to equity, inclusivity, and diversity); and how we as a society fund science and apply its discoveries.","PHY224H1/PHY250H1/PHY252H1/PHY254H1/PHY256H1, or by permission of the instructor.",Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC5101,Tuesday,—,17:00,19:00,,,,,,,,,"Sealfon, C.",of  available,36,92,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494490,,,,,,,,,,,,,,MP 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,"Society, Culture and Religion in the Renaissance and Reformation",HIS443H1-S,,,,"Developments in popular/lay/local religion as expressed in a variety of cultural, political, and social forms from 1400-1600; the relation of these forms to both Catholic and Protestant institutional churches. Impact of Renaissance humanism on notions of kinship, order, community, perfection.",HIS309H1/HIS357Y1 or permission of instructor,Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Thursday,—,15:00,17:00,,,,,,,,,"Terpstra, N.",of  available,0,16,Yes: 3 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494600,,,,,,,,,,,,,,NF 231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
IHPST,"Health, Medicine, and Society in the Mediterranean World",HPS444H1-S,Delivery instructions,Note:,Recordings of the seminars will  be available for students to view asynchronously. Students will not be expected to watch asynchronous lecture videos prior to class meetings. It is highly recommendedthat students have a computer with a microphone and camera in order to participate in the seminar discussions and online activities.,"This course examines healing practices and medical knowledge in the Mediterranean world, focusing on the early modern period. We will address topics such as the interplay between medicine and religion, the relationship between patients and practitioners, and the role of women as both healers and patients and across Mediterranean shores. We will also consider how individuals in different Mediterranean regions experienced the relationship between health and the environment, explore the bearings that medical pursuits had on the creation and consolidation of notions of sex and gender, and examine how medical knowledge shaped views of the body and informed health policies.",This course presupposes having some background in the history of medicine and/or history of science and having engaged in historical research projects. It is highly recommended that students have taken one or more courses in History of Medicine (or History of Science and/or Technology),"HPS318H1 or HPS319H1, or a 0.5 HPS or HIS credit with a focus on the history of science at the 200-level or higher",Prerequisite:,Humanities,Recommended Preparation:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Tuesday,—,16:00,18:00,,,,,,,,,"Dacome, L.",of  available,3,20,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,,,,,VC 211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,Breadth Requirement:
HIS,Gender and Slavery in the Atlantic World,HIS446H1-S,,,,"The course examines the relationship between gender and the experience of slavery and emancipating several Atlantic world societies from the 17th-19th centuries. Areas to be covered are the Caribbean, Brazil, the U.S. South, West and South Africa and Western Europe.","HIS291H1/HIS294Y1/(HIS230H1, HIS231H1)/HIS295Y1",HIS446Y1,Prerequisite:,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Thursday,—,10:00,12:00,,,,,,,,,"Newton, M.",of  available,0,11,Yes: 8 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494541,,,,,,,,,,,,,,IN 223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,Breadth Requirement:
IHPST,Revolutions in Science,HPS450H1-F,Delivery instructions,Note:,Seminars may be recorded for student review.,"A detailed investigation into a highly celebrated and important philosophical idea concerning the development of scientific knowledge: the notion of scientific revolutions. We will consider the process of theory change, whether theory choice is rational, and whether theoretical terms, such as light and space preserve their meanings across revolutions. In addition to classic work by Kuhn, we shall consider approaches that were inspired by Kuhn’s work. In particular, we will consider the approaches of sociologists of scientific knowledge. The course is taught as a seminar in which the students play an active role in presenting and discussing the readings.",HPS250H1 or by permission of the instructor,HPS350H1,Prerequisite:,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Thursday,—,10:00,12:00,,,,,,,,,"Lewis, C.",of  available,1,20,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494600,,,,,,,,,,,,,,NF 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,Breadth Requirement:
HIS,World War II in East Central Europe,HIS451H1-F,,,,"The fall of the Versailles system, German and Soviet diplomatic and military activities and their occupational policies in East Central Europe during World War II, economic exploitation, collaboration, resistance, and genocide in the discussed region, its liberation and sovietization in 1944-1945. (Joint undergraduate-graduate)",EUR200Y1/HIS251Y1/HIS334H1,Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Thursday,—,09:00,11:00,,,,,,,,,"Dimitriadis, V.",of  available,0,16,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,,SS 581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,Gender and International Relations,HIS465Y1-Y,,,,"This seminar explores the use of gender as a category of analysis in the study of international relations. Topics include gendered imagery and language in foreign policymaking; beliefs about women’s relationship to war and peace; issues of gender, sexuality, and the military; gender and global governance; gender and the global economy; sexual violence; and contributions of feminist theory to international relations theory.",JHP440Y1,0.5 credit at the 300-level in HIS/POL/WGS,Exclusion:,Humanities,Recommended Preparation:,"Society and its Institutions (3), Thought, Belief and Behaviour (2)",Distribution Requirement:,LEC0101,Monday,—,16:00,18:00,,SS 1069,https://map.utoronto.ca/?id=1809#!m/494510,SS 1069,https://map.utoronto.ca/?id=1809#!m/494510,,,,"Chin, C.",of  available,0,13,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breadth Requirement:
HIS,Topics in Canadian History,HIS466H1-F,,,,Selected topics in a specific period of Canadian history. Content in any given year depends on instructor. Please see the History Department website for complete description.,HIS263Y1/HIS264H1 or permission of the instructor,Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Tuesday,—,13:00,15:00,,,,,,,,,"Morgan, C.",of  available,3,22,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494563,,,,,,,,,,,,,,OI 8200,,,,,,,,,,,,,,,,,,,,,Subtitle,,,,,,,,,,,,Room,,,,,
HIS,Topics in Canadian History,HIS466H1-S,,,,Selected topics in a specific period of Canadian history. Content in any given year depends on instructor. Please see the History Department website for complete description.,HIS263Y1/HIS264H1 or permission of the instructor,Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Tuesday,—,13:00,15:00,,,,,,,,,"Morgan, C.",of  available,2,22,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494563,,,,,,,,,,,,,,OI 10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,"French Colonial Indochina: History, Cultures, Texts, Film",HIS467H1-F,,,,"Examines French colonial Indochina through several different lenses. Themes include the cross-cultural contact zones between colonial and colonized societies, imperial culture, expressions of colonial power, and forms of opposition. Colonial novels, translated resistance literature, documentaries, and films are utilized as primary sources to be examined critically.",ANT344Y1/EAS204Y1/GGR342H1/HIS104Y1/HIS107Y1/HIS280Y1/HIS283Y1/HIS284Y1/HIS315H1/HIS388H1/NEW369Y1,HIS467Y1,Prerequisite:,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Tuesday,—,10:00,12:00,,,,,,,,,"Jennings, E.",of  available,1,16,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,,,,,VC 215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,Breadth Requirement:
HIS,Senior Thesis Seminar,HIS475H1-F,,,,"Compulsory for all Specialists undertaking a one-semester dissertation. Weekly seminars provide training in reviewing literature, writing research proposals, formulating hypotheses and oral presentation of findings.",History Specialists only. Students must find topics and thesis supervisors. Not eligible for CR/NCR option. See department website for pre-requisites and specific registration instructions. (http://history.utoronto.ca/undergraduate/senior-thesis),Consent of supervisor and department,Prerequisite:,"HIS498H1, HIS499Y1, HIS476Y1",Exclusion:,Humanities,Distribution Requirement:,LEC0101,Tuesday,—,10:00,12:00,,,,,,,,,"Hawkins, S.",of  available,2,12,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,ASSPE0652 SP HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,,SS 2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,Breadth Requirement:
HIS,Senior Thesis,HIS476H1-S,Delivery instructions,Note:,"If Public Health and institutional guidelines allow, and by mutual agreement of the student and faculty supervisor, in-person meetings may be arranged.",Compulsory for all Specialists undertaking a one-year dissertation.,History Specialists only. Students must find topics and thesis supervisors. Not eligible for CR/NCR option. See department website for prerequisites and specific registration instructions.,HIS475H1 and consent of supervisor and department,Prerequisite:,"HIS476Y1, HIS498H1, HIS499Y1",Exclusion:,Humanities,Distribution Requirement:,LEC0101,,—,,,,—,,,,,,,,of  available,3,12,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,ASSPE0652 SP HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,—,Breadth Requirement:
HIS,Topics in the Social and Cultural History of Victorian Britain,HIS477H1-F,,,,"Examination of the impact of industrialism on Victorian society and values. Concentration on Victorian social critics including Engels, Owen, Maynew, Dickens and Morris.",A course in modern British History/Victorian literature,Humanities,Recommended Preparation:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Tuesday,—,16:00,18:00,,,,,,,,,"Loeb, L.",of  available,0,16,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY  - Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,,,,,VC 304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
IHPST,Special Research Opportunity in History of Medicine,HPS481H1-F,,,,"This course offers advanced undergraduate students the opportunity to undertake original research into the history of medicine, under the guidance of a faculty mentor.",Permission of instructor,Preparation with instructor,Prerequisite:,Humanities,Recommended Preparation:,,Distribution Requirement:,LEC9901,2.0 hours / week,,,,,—,,,,,,,,of  available,9999,9999,No,Asynchronous,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,—,
IHPST,Special Research Opportunity in History of Medicine,HPS481H1-S,,,,"This course offers advanced undergraduate students the opportunity to undertake original research into the history of medicine, under the guidance of a faculty mentor.",Permission of instructor,Preparation with instructor,Prerequisite:,Humanities,Recommended Preparation:,,Distribution Requirement:,LEC9901,2.0 hours / week,,,,,—,,,,,,,,of  available,9999,9999,No,Asynchronous,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,—,
IHPST,Special Research Opportunity in History of Science,HPS482H1-F,,,,"This course offers advanced undergraduate students the opportunity to undertake original research into the history of the natural or physical sciences, under the guidance of a faculty mentor.",Permission of instructor,Preparation with instructor,Prerequisite:,Humanities,Recommended Preparation:,,Distribution Requirement:,LEC9901,2.0 hours / week,,,,,—,,,,,,,,of  available,9999,9999,No,Asynchronous,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,—,
IHPST,Special Research Opportunity in History of Science,HPS482H1-S,,,,"This course offers advanced undergraduate students the opportunity to undertake original research into the history of the natural or physical sciences, under the guidance of a faculty mentor.",Permission of instructor,Preparation with instructor,Prerequisite:,Humanities,Recommended Preparation:,,Distribution Requirement:,LEC9901,2.0 hours / week,,,,,—,,,,,,,,of  available,9999,9999,No,Asynchronous,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,—,
IHPST,Special Research Opportunity in History of Technology,HPS483H1-F,,,,"This course offers advanced undergraduate students the opportunity to undertake original research into the history of the natural or physical sciences, under the guidance of a faculty mentor.",Permission of instructor,Preparation with instructor,Prerequisite:,"Humanities, Science",Recommended Preparation:,,Distribution Requirement:,LEC9901,2.0 hours / week,,,,,—,,,,,,,,of  available,9999,9999,No,Asynchronous,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,—,
