resultDept,pbot15,hiCC,extraTxt,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,headerSect 3,colCode,weekDay,weekDay 2,colInst,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,headerSect 8,alignC,dayInfo 20,dayInfo 21,weekDay href 7,extraTxt 13,extraTxt 14,extraTxt 15,extraTxt 16,colTitle
SOC,Social Context of Public Policy,SOC478H1-S,,"This course explores how policy processes and frameworks need to be evaluated in light of the social context in which they are developed. Factors to be considered include the interplay between public values and expectations and public policy; the implications of cultural diversity and demographic change, and understandings of ethical principles of conduct in public organizations. A related goal is to help students learn how to use empirical research to answer highly contested issues in policy circles and in public life. These objectives are pursued by introducing students to major trends in inequality in Canada, assessing these trends within a comparative context, reflecting on their normative implications, and examining alternative policy responses to these developments. Restricted to 4th-year sociology majors and specialists.",1.0 SOC FCE at the 300+ level.,Prerequisite:,SOC303H1 or SOC304H1 or SOC314H1 or SOC363H1 or SOC364H1 or SOC365H1 or SOC371H1 or SOC383H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,FE 41,"Parker, S.",0,15,Yes: 4 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,,,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494550,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Culture and Social Networks,SOC481H1-F,,Relationships between various forms of culture and the networks connecting both individual people and organizations creating culture. Restricted to 4th-year sociology majors and specialists.,1.0 SOC FCE at the 300+ level (preferably selected from the Recommended Preparation list for this course),Prerequisite:,SOC355H1 or SOC382H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,FE 41,"Erickson, B.",5,15,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,,,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494550,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Culture and Cognition,SOC483H1-S,,"This course examines the social foundations of thinking and action, with a focus on how individuals think and act through shared cognitive schemas that are embedded in larger social structures. The course is organized around a wide-ranging array of classical and contemporary theories that help explain the various factors that shape culture and cognition. There is a research component to put this analytical understanding into practice. Restricted to 4th-year sociology majors and specialists.",1.0 SOC FCE at the 300+ level,Prerequisite:,SOC483Y1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,FE 41,"Brett, G.",0,15,Yes: 4 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494550,Society and its Institutions (3),Breadth Requirement:,,,
SOC,New Topics in Sociology,SOC485H1-F,http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Consult the Departmental website: . Restricted to 4th-year sociology majors and specialists.,1.0 SOC FCE at the 300+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,FE 41,"Lee, J.",0,15,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,Subtitle,,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494550,,,,,Sociology of Martial Arts
SOC,New Topics in Sociology,SOC489H1-S,,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Restricted to 4th-year sociology majors and specialists. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 300+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,FE 41,"Brym, R.",4,8,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 3,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 3,ASSPE1013 SP SOCIOLOGY  - Year 4,Subtitle,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494550,,,,,"The Political Sociology of the Jewish Question: Liberalism, Socialism and Zionism"
SOC,Independent Research,SOC490Y1-Y,http://sociology.utoronto.ca/st-george-campus/courses-3/independent-research-course/,"Independent Research courses allow students to pursue a specific topic of interest. These courses are offered at the 400-level, as full or half courses. Students work independently with a professor in the Department who acts as research supervisor. There are no formal class meetings, lectures, or readings other than what is agreed to with the supervisor. Professors accept supervisory responsibility at their discretion. They are not required to serve as research supervisors. It is recommended that students approach a professor working in the same sub-discipline of sociology. Often students become interested in a topic through a SOC course and approach the instructor of that course for supervision; however, this is not required. Not eligible for CR/NCR option. For further details, please visit our website at:","Students must have completed 15.0 courses towards their degree, plus a SOC course at the 300+ level to be eligible for 400-level Independent Research.",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,LEC0101,—,—,,9993,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,,,
SOC,Independent Research,SOC491H1-F,http://sociology.utoronto.ca/st-george-campus/courses-3/independent-research-course/,"Independent Research courses allow students to pursue a specific topic of interest. These courses are offered at the 400-level, as full or half courses. Students work independently with a professor in the Department who acts as research supervisor. There are no formal class meetings, lectures, or readings other than what is agreed to with the supervisor. Professors accept supervisory responsibility at their discretion. They are not required to serve as research supervisors. It is recommended that students approach a professor working in the same sub-discipline of sociology. Often students become interested in a topic through a SOC course and approach the instructor of that course for supervision; however, this is not required. Not eligible for CR/NCR option. For further details, please visit our website at:","Students must have completed 15.0 courses towards their degree, plus a SOC course at the 300+ level to be eligible for 400-level Independent Research.",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,,—,,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,,,
SOC,Independent Research,SOC492H1-S,http://sociology.utoronto.ca/st-george-campus/courses-3/independent-research-course/,"Independent Research courses allow students to pursue a specific topic of interest. These courses are offered at the 400-level, as full or half courses. Students work independently with a professor in the Department who acts as research supervisor. There are no formal class meetings, lectures, or readings other than what is agreed to with the supervisor. Professors accept supervisory responsibility at their discretion. They are not required to serve as research supervisors. It is recommended that students approach a professor working in the same sub-discipline of sociology. Often students become interested in a topic through a SOC course and approach the instructor of that course for supervision; however, this is not required. Not eligible for CR/NCR option. For further details, please visit our website at:","Students must have completed 15.0 courses towards their degree, plus a SOC course at the 300+ level to be eligible for 400-level Independent Research.",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,,—,,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,,,
SOC,New Topics in Sociology,SOC493H1-F,,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Restricted to 4th-year sociology majors and specialists. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 300+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,FE 41,"Drapeau-Bisson, M.",0,15,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,Subtitle,,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494550,,,,,Sociology of Arts
SOC,New Topics in Sociology,SOC493H1-S,,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Restricted to 4th-year sociology majors and specialists. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 300+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Thursday,FE 41,"Eads, A.",0,15,Yes: 7 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,Subtitle,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494550,,,,,"Housing Markets, Financial Crisis & Inequality& Inequality&"
SOC,New Topics in Sociology,SOC494H1-F,Note:,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Restricted to 4th-year sociology majors and specialists. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 300+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,FE 41,"Tanaka, Y.",0,15,Yes: 0 student,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,Subtitle,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494550,,,,,Migration and Settler Colonialism
SOC,New Topics in Sociology,SOC494H1-S,,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Restricted to 4th-year sociology majors and specialists. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 300+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Thursday,FE 41,"McIvor, M.",0,15,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,Subtitle,,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494550,,,,,Policy and Inequality in Post-Secondary Education
SOC,New Topics in Sociology,SOC496H1-S,,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Restricted to 4th-year sociology majors and specialists. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 300+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,FE 41,"Dokshin, F.",0,15,Yes: 1 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,Subtitle,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494550,,,,,"Energy, Climate Change, and Society"
SOC,New Topics in Sociology,SOC497H1-S,,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Restricted to 4th-year sociology majors and specialists. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 300+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,FE 41,"Dokshin, F.",6,15,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 3,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 3,ASSPE1013 SP SOCIOLOGY  - Year 4,Subtitle,,09:00,12:00,https://map.utoronto.ca/?id=1809#!m/494550,,,,,Computational Methods for Sociologists
SOC,New Topics in Sociology,SOC498H1-F,,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Restricted to 4th-year sociology majors and specialists. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 300+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC5101,Wednesday,FE 41,"Guzman, C.",8,15,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 3,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 3,ASSPE1013 SP SOCIOLOGY  - Year 4,Subtitle,,18:00,21:00,https://map.utoronto.ca/?id=1809#!m/494550,,,,,Advanced Qualitative Methods
SOC,New Topics in Sociology,SOC499H1-F,,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Restricted to 4th-year sociology majors and specialists. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 300+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC5101,Tuesday,—,"Titchkosky, T.",0,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,Subtitle,,18:00,20:00,,,,,,Sociology of Disability
